Property,Value
Name,"Aerospace Sealant Residue"
Category,"organic-residue"
Subcategory,"adhesive"
Description,"Aviation sealant contamination arises when excess polysulfide or silicone materials, applied to seal aircraft joints, cure unevenly and harden into a rubbery residue during assembly. It stands out from oils or paints through its elastic, crosslinked polymer structure that resists basic solvents and wipes, turning tenacious on surfaces. On aluminum and titanium, it bonds deeply into oxide layers and pores, while infiltrating resin matrices in carbon fiber reinforced polymer and strands in fiberglass, creating stress points; removal challenges traditional scraping or chemicals, which risk damage and prolong downtime. Laser cleaning works out effectively by pulsing targeted energy to vaporize layers precisely, clearing residues without abrading substrates and preserving structural integrity across these materials."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Aluminum","Compatible"
"Titanium","Compatible"
"Carbon Fiber Reinforced Polymer","Compatible"
"Fiberglass","Compatible"
