Property,Value
Name,"Graphite Deposit Traces"
Category,"organic-residue"
Subcategory,"marking"
Description,"Graphite marks arise from carbon residues left by pencils, lubricants, or electrical contacts rubbing onto surfaces. These dark, powdery deposits stand out from rust or oils due to their conductive, non-adhesive nature that smears easily under pressure. On metals like steel or aluminum, they cling tightly yet vaporize cleanly with laser pulses, cutting removal challenges like residue buildup while preserving the base material."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Paper","Compatible"
"Concrete","Compatible"
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
"Alumina","Compatible"
"Silicon Carbide","Compatible"
"Zirconia","Compatible"
"Aluminum Nitride","Compatible"
"Boron Carbide","Compatible"
"Boron Nitride","Compatible"
"Silicon Nitride","Compatible"
