# Contaminant Removal Dataset (CSV Format)
# Contaminant: Tin Plating Residue
# Category: metallic-coating
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/metallic-coating/plating/tin-plating-contamination

## CHEMICAL COMPOSITION
Index,Compound
1,"Sn"
2,"Sn-Pb Alloy"

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"half_mask"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,10

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"3 materials"
Visual Characteristics,"Not available"
