Property,Value
Name,"Bitumen and Tar Coatings"
Category,"organic-residue"
Subcategory,"petroleum"
Description,"Bitumen-tar contamination arises from heavy petroleum-based coatings applied in roofing and paving, so it forms thick, sticky layers during waterproofing processes. This contaminant shows unique dark, viscous properties that distinguish it from lighter paints because adhesion strengthens on porous surfaces like concrete and granite. Removal challenges include strong bonding that resists mechanical scraping, yet laser cleaning succeeds by vaporizing the layer selectively so underlying materials such as steel and marble remain undamaged."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Concrete","Compatible"
"Steel","Compatible"
"Granite","Compatible"
"Marble","Compatible"
"Limestone","Compatible"
"Sandstone","Compatible"
"Basalt","Compatible"
"Slate","Compatible"
"Quartzite","Compatible"
"Travertine","Compatible"
"Bluestone","Compatible"
"Soapstone","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
