Property,Value
Name,"Depleted Uranium Oxide"
Category,"chemical-residue"
Subcategory,"hazardous"
Description,"Uranium oxide forms on surfaces after exposure to nuclear materials in manufacturing and military settings. Unlike rust or dust, it exhibits dense layering and radioactivity so distinguishes itself clearly. On steel, bond holds tightly, while on concrete, penetration deepens into structure, and challenges arise from hardness during removal. Laser cleaning succeeds because ablation vaporizes contamination precisely without residue spread."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"low"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Steel","Compatible"
"Concrete","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
