Property,Value
Name,"Chemical Stains / Acid Etching"
Category,"chemical-residue"
Subcategory,"industrial"
Description,"Chemical-stains contamination, it arises from exposure to acids, bases, or solvents, causing discoloration and etching on surfaces. This pattern, it differs from rust or dust by its chemical bonding and uneven penetration, thus resists mechanical wiping. On metals like steel and aluminum, stains embed deeply and corrode, while on plastics such as acrylic and ABS, they cause cracking. Removal challenges include substrate damage risk, so laser cleaning works effectively by vaporizing stains selectively and preserving material integrity."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"full_face"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Concrete","Compatible"
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
"ABS","Compatible"
"Acrylic (PMMA)","Compatible"
"Polycarbonate","Compatible"
"PET","Compatible"
"Polypropylene","Compatible"
"PVC","Compatible"
"Nylon","Compatible"
"PTFE","Compatible"
"Alumina","Compatible"
"Silicon Carbide","Compatible"
"Zirconia","Compatible"
"Aluminum Nitride","Compatible"
"Boron Carbide","Compatible"
"Boron Nitride","Compatible"
"Silicon Nitride","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
