# Contaminant Removal Dataset (CSV Format)
# Contaminant: Fire and Smoke Damage
# Category: thermal-damage
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/thermal-damage/fire/fire-damage-contamination

## CHEMICAL COMPOSITION
Index,Compound
1,"C"
2,"Ash"
3,"Tar"
4,"Metal Oxides"

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"PAPR"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,12

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"18 materials"
Visual Characteristics,"Not available"
