Property,Value
Name,"Mercury Spill Residue"
Category,"chemical-residue"
Subcategory,"hazardous"
Description,"Mercury contamination forms from elemental spills or amalgam residues in industrial settings. Before cleaning, liquid films spread quickly on concrete and tile, so vapors release easily during handling and this volatility distinguishes it from solid pollutants. On metals such as copper, steel, and aluminum, mercury alloys and penetrates deeply, so adhesion strengthens and removal challenges include toxicity and residue scattering; laser cleaning vaporizes contamination precisely without substrate harm, so after treatment surfaces exhibit effective cleanliness."

SAFETY INFORMATION,
Fire/Explosion Risk,"none"
Toxic Gas Risk,"high"
Visibility Hazard,"low"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Concrete","Compatible"
"Tile","Compatible"
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
