# Contaminant Removal Dataset (CSV Format)
# Contaminant: Graffiti and Spray Paint
# Category: inorganic-coating
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/inorganic-coating/paint/graffiti-paint-contamination

## CHEMICAL COMPOSITION
Index,Compound
1,"Acrylic"
2,"Enamel"
3,"Solvents"
4,"Pigments"

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"PAPR"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,12

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"26 materials"
Visual Characteristics,"Not available"
