Property,Value
Name,"Epoxy Resin Deposits"
Category,"organic-residue"
Subcategory,"adhesive"
Description,"Epoxy-residue forms when cured two-part adhesive hardens on surfaces after mixing and application, creating tough layer with dense bonds. This contamination shows unique stickiness and resistance to solvents unlike softer paints or oils, so removal needs targeted heat without damaging base. On metals such as steel and aluminum, residue clings tightly during exposure, posing challenges like incomplete stripping because of its durability, yet laser cleaning succeeds by vaporizing it precisely through controlled pulses."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Concrete","Compatible"
"Carbon Fiber Reinforced Polymer","Compatible"
"Fiberglass","Compatible"
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
