Property,Value
Name,"Gold Electroplating"
Category,"metallic-coating"
Subcategory,"plating"
Description,"Gold-plating contamination hits when thin gold layers flake off or transfer during handling of electronics and jewelry, often forming through wear on base metals like copper or nickel. It stands out with its shiny, stubborn metallic film that clings tighter than typical oxides or grime, showing up brighter and harder to scrape without scratching. On brass, it bonds deep and resists solvents, while on copper it loosens faster but still demands care to avoid base damage—laser cleaning nails this by zapping the gold precisely, clearing it clean without harming the substrate underneath."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"low"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Copper","Compatible"
"Brass","Compatible"
"Nickel","Compatible"
