# Contaminant Removal Dataset (CSV Format)
# Contaminant: Organic Biofilm Deposits
# Category: biological
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/biological/deposit/biological-stains-contamination

## CHEMICAL COMPOSITION
Index,Compound
1,"Proteins"
2,"Polysaccharides"
3,"Lipids"
4,"Chlorophyll"

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"full_face"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,12

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"32 materials"
Visual Characteristics,"Not available"
