Property,Value
Name,"Soap Scum Buildup"
Category,"organic-residue"
Subcategory,"cleaning-agent"
Description,"Soap-scum contamination, it manifests as fatty acid salt deposits that arise from the interaction between soap residues and hard water minerals, which tenaciously adhere to surfaces in humid environments. This layer, it distinguishes itself from mineral scales or organic films through its waxy, translucent consistency and sensitivity to pH variations, behaving differently on materials like tile or glass where it spreads unevenly and resists mechanical abrasion, yet persists less stubbornly on ceramics compared to metals. Key challenges for removal include its strong bonding influenced from repeated exposure, but laser cleaning proves effective, as the process selectively ablates the scum without damaging the substrate, leading to efficient restoration."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"half_mask"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Tile","Compatible"
"Fiberglass","Compatible"
"Crown Glass","Compatible"
"Float Glass","Compatible"
"Borosilicate Glass","Compatible"
"Aluminosilicate Glass","Compatible"
"Fused Silica","Compatible"
"Gorilla Glass","Compatible"
"Tempered Glass","Compatible"
"Alumina","Compatible"
"Silicon Carbide","Compatible"
"Zirconia","Compatible"
"Aluminum Nitride","Compatible"
"Boron Carbide","Compatible"
"Boron Nitride","Compatible"
"Silicon Nitride","Compatible"
