# Contaminant Removal Dataset (CSV Format)
# Contaminant: Rubber Compound Residue
# Category: organic-residue
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/organic-residue/polymer/rubber-residue-contamination

## CHEMICAL COMPOSITION
Index,Compound
1,"C₅H₈"
2,"Sulfur"
3,"Carbon Black"

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"PAPR"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,15

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"15 materials"
Visual Characteristics,"Not available"
