Property,Value
Name,"Exhaust System Deposits"
Category,"thermal-damage"
Subcategory,"fire"
Description,"Exhaust-residue contamination, it arises from carbonaceous and metallic deposits in engine emissions, which accumulate tenaciously on surfaces exposed to high-heat flows. This layer, it distinguishes itself by its oily, layered adhesion, unlike dry rust that flakes easily, and behaves differently on metals: on steel and stainless steel, it penetrates deeply, while on titanium, it manifests as a superficial film resistant to abrasion. Removal challenges stem from its chemical bonding, yet laser cleaning proves effective, as the process vaporizes residues selectively without substrate damage."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Steel","Compatible"
"Stainless Steel","Compatible"
"Titanium","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
