Property,Value
Name,"Limescale Deposits"
Category,"thermal-damage"
Subcategory,"scale"
Description,"Lime-scale builds up as hard calcium carbonate from evaporated hard water, creating a stubborn white layer on surfaces. It differs from rust or salts by its porous, crystalline structure that bonds aggressively without corroding the substrate. On glasses like float or borosilicate, it etches lightly, while on metals such as stainless steel or copper, it flakes unevenly—making removal a real challenge due to tight grip and residue spread. Laser cleaning ramps up efficiency here, vaporizing the scale precisely to clear it fast without scratching the material underneath."

SAFETY INFORMATION,
Fire/Explosion Risk,"none"
Toxic Gas Risk,"low"
Visibility Hazard,"moderate"
Respiratory Protection,"half_mask"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Tile","Compatible"
"Crown Glass","Compatible"
"Float Glass","Compatible"
"Borosilicate Glass","Compatible"
"Aluminosilicate Glass","Compatible"
"Fused Silica","Compatible"
"Gorilla Glass","Compatible"
"Tempered Glass","Compatible"
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
"Alumina","Compatible"
"Silicon Carbide","Compatible"
"Zirconia","Compatible"
"Aluminum Nitride","Compatible"
"Boron Carbide","Compatible"
"Boron Nitride","Compatible"
"Silicon Nitride","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
