# Contaminant Removal Dataset (CSV Format)
# Contaminant: Mineral Scale / Hard Water Deposits
# Category: thermal-damage
# Generated: 2025-12-21
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/)
# URL: https://www.z-beam.com/contaminants/thermal-damage/scale/scale-buildup-contamination

## CHEMICAL COMPOSITION
Index,Compound
N/A,No composition data available

## SAFETY DATA
Assessment,Risk Level
Fire/Explosion Risk,"[object Object]"
Toxic Gas Risk,"[object Object]"
Visibility Hazard,"[object Object]"

## PPE REQUIREMENTS
Protection Type,Requirement
Respiratory,"half_mask"
Eye Protection,"goggles"
Protective Clothing,"Not specified"
Gloves,"Not specified"

## VENTILATION REQUIREMENTS
Parameter,Value
Minimum ACH,10

## LASER REMOVAL PROPERTIES
Property,Value
N/A,No laser property data available

## DATA AVAILABILITY
Data Type,Availability
Material-Specific Removal,"38 materials"
Visual Characteristics,"Not available"
