Property,Value
Name,"Chromium Oxide Pitting"
Category,"oxidation"
Subcategory,"non-ferrous"
Description,"Chrome-pitting forms when localized chromium oxide layer breaks down on plated surfaces because of environmental exposure and corrosion, so surface degradation happens in small pits. This contamination shows unique pitting patterns distinct from uniform rust or scaling, where isolated spots appear without spreading widely, and it behaves differently on chrome-plated steel by deepening quickly during cleaning, while on stainless steel, pits resist less but still challenge uniformity. Key removal issues arise from substrate damage risk, yet laser cleaning works effectively because precise pulses target oxide breakdown so contaminants ablate cleanly without affecting base material."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"full_suit"

COMPATIBLE MATERIALS,
"Chrome-Plated Steel","Compatible"
"Stainless Steel","Compatible"
