Property,Value
Name,"Fertilizer Salt Deposits"
Category,"chemical-residue"
Subcategory,"industrial"
Description,"Fertilizer-residue contamination, it arises from nitrate and phosphate deposits, which accumulate on surfaces through prolonged exposure to agricultural chemicals and environmental moisture, distinguishing itself from other residues by its crystalline structure that promotes uneven layering. This contamination, it adheres more tenaciously to porous materials like limestone and marble, where it penetrates deeply, while on metals such as steel or copper it manifests as a thin film that accelerates oxidation, thus posing removal challenges dependent from its variable solubility and risk of substrate etching. Laser cleaning exhibits effectiveness here, as the process selectively vaporizes the residue without altering the underlying material, which leads to efficient restoration that traditional methods often fail to achieve."

SAFETY INFORMATION,
Fire/Explosion Risk,"low"
Toxic Gas Risk,"moderate"
Visibility Hazard,"moderate"
Respiratory Protection,"PAPR"
Eye Protection,"goggles"
Skin Protection,"gloves"

COMPATIBLE MATERIALS,
"Concrete","Compatible"
"Granite","Compatible"
"Marble","Compatible"
"Limestone","Compatible"
"Sandstone","Compatible"
"Basalt","Compatible"
"Slate","Compatible"
"Quartzite","Compatible"
"Travertine","Compatible"
"Bluestone","Compatible"
"Soapstone","Compatible"
"Aluminum","Compatible"
"Steel","Compatible"
"Stainless Steel","Compatible"
"Cast Iron","Compatible"
"Copper","Compatible"
"Bronze","Compatible"
"Brass","Compatible"
"Titanium","Compatible"
"Zinc","Compatible"
"Nickel","Compatible"
"Lead","Compatible"
"Tin","Compatible"
"Cobalt","Compatible"
"Chromium","Compatible"
LEGAL NOTICE,
DISCLAIMER,"Provided for informational purposes only, without warranties. Use at your own risk. Z-Beam assumes no liability for damages arising from its application."
NO WARRANTY,"This data is provided AS IS without warranty of any kind"
NO LIABILITY,"Z-Beam assumes no liability for damages arising from use of this data"
PROFESSIONAL CONSULTATION,"Always consult qualified professionals and follow safety regulations"
