Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.7,MPa m^{1/2},,
Material Characteristics,density,2400.0,kg/m³,,
Material Characteristics,oxidationResistance,0.98,dimensionless,,
Material Characteristics,youngsModulus,30.0,GPa,,
Material Characteristics,hardness,0.4,GPa,,
Material Characteristics,compressiveStrength,25.0,MPa,,
Material Characteristics,tensileStrength,3.2,MPa,,
Material Characteristics,flexuralStrength,4.2,MPa,,
Material Characteristics,corrosionResistance,300.0,Ω·m,,
Material Characteristics,laserDamageThreshold,4.2,J/cm²,,
Laser-Material Interaction,absorptivity,0.75,dimensionless,0.6,0.9
Laser-Material Interaction,absorptionCoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,laserDamageThreshold,8,J/cm²,5,15
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,1,2
Laser-Material Interaction,reflectivity,0.25,dimensionless,0.1,0.4
Laser-Material Interaction,thermalDestructionPoint,1000,K,800,1200
Laser-Material Interaction,vaporPressure,10,Pa,1,100
Laser-Material Interaction,thermalDestruction,773.0,K,,
Laser-Material Interaction,laserReflectivity,0.35,,,
Laser-Material Interaction,thermalExpansion,1.2e-05,K^{-1},,
Laser-Material Interaction,thermalConductivity,1.4,W/m·K,,
Laser-Material Interaction,specificHeat,880.0,J/(kg·K),,
Laser-Material Interaction,laserAbsorption,0.9,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,5e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,3.2,J/cm²,,
