DATASET: Iron Laser Cleaning Parameters
================================================================================

DESCRIPTION:
When laser cleaning iron, you'll want to start with steady power levels to make the most of its solid strength and heat tolerance that keeps the base material intact while removing rust or grime, but make sure you avoid overexposure in the middle stages since it can lead to uneven surface heating if not monitored closely.

MACHINE SETTINGS:
--------------------------------------------------------------------------------
  (No machine settings available)

MATERIAL PROPERTIES:
--------------------------------------------------------------------------------

Material Characteristics:
  electricalConductivity: 10300000.0 S/m
  electricalResistivity: 9.71e-08 Ω·m
  fractureToughness: 65.0 MPa√m
  surfaceRoughness: 1.2 μm
  youngsModulus: 211.0 GPa
  oxidationResistance: 1.2e-11 g²/cm⁴/s
  density: 7874.0 kg/m³
  hardness: 80.0 HV
  corrosionResistance: -0.44 V
  compressiveStrength: 350.0 MPa
  flexuralStrength: 275.0 MPa
  tensileStrength: 350.0 MPa
  porosity: 0.0 fraction
  absorptivity: 0.37
  boilingPoint: 3135.0 K
  absorptionCoefficient: 47500000.0 m^{-1}
  meltingPoint: 1811.0 K
  vaporPressure: 101325.0 Pa
  thermalDestructionPoint: 1811.0 K
  reflectivity: 0.56 dimensionless
  thermalShockResistance: 80.0 K
  laserDamageThreshold: 0.75 J/cm²

Laser-Material Interaction:
  absorptionCoefficient: 630000.0 m⁻¹
  absorptivity: 0.35 dimensionless
  laserDamageThreshold: 2.5 J/cm²
  reflectivity: 0.65 dimensionless
  thermalDestructionPoint: 1811.0 K
  thermalShockResistance: 1.2 MPa√m
  vaporPressure: 0.000142 Pa
  thermalDestruction: 1811.0 K
  specificHeat: 449.0 J/kg·K
  laserReflectivity: 0.62 dimensionless
  thermalConductivity: 80.2 W/m·K
  thermalExpansion: 1.18e-05 K^{-1}
  laserAbsorption: 0.35 dimensionless
  thermalDiffusivity: 2.31e-05 m²/s
  ablationThreshold: 1.5 J/cm²
