Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.35,MPa√m,,
Material Characteristics,youngsModulus,9.03,GPa,,
Material Characteristics,oxidationResistance,0.78,dimensionless (relative resistance index),,
Material Characteristics,density,560.0,kg/m³,,
Material Characteristics,hardness,3558.0,N,,
Material Characteristics,corrosionResistance,0.85,dimensionless (durability index),,
Material Characteristics,compressiveStrength,47.5,MPa,,
Material Characteristics,flexuralStrength,82.7,MPa,,
Material Characteristics,tensileStrength,96.5,MPa,,
Material Characteristics,porosity,0.67,fraction,,
Material Characteristics,laserDamageThreshold,1.2,J/cm²,,
Laser-Material Interaction,absorptivity,0.9,dimensionless,0.8,0.95
Laser-Material Interaction,absorptionCoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,laserDamageThreshold,3,J/cm²,1,5
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,0.5,3
Laser-Material Interaction,reflectivity,0.1,dimensionless,0.05,0.2
Laser-Material Interaction,thermalDestructionPoint,500,K,450,550
Laser-Material Interaction,vaporPressure,500,Pa,100,1000
Laser-Material Interaction,thermalDestruction,553.0,K,,
Laser-Material Interaction,specificHeat,1340.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.11,dimensionless,,
Laser-Material Interaction,thermalConductivity,0.15,W/m·K,,
Laser-Material Interaction,thermalExpansion,4.8e-05,K^{-1},,
Laser-Material Interaction,laserAbsorption,2100000.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,1.35e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,1.25,J/cm²,,
