Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Marble,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: marble, laser cleaning, stone, metamorphic, material properties",,,,,
# Last Modified: 2026-01-10,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Energydensity,1,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,70,%,10,90
Machine Setting,Laserpower,100,W,1.0,120
Machine Setting,Laserpoweralternative,100,W,20,300
Machine Setting,Frequency,20,kHz,1,200
,Crystallinestructure,crystalline,crystal system,None,None
Material Characteristics,Fracturetoughness,1.16,MPa√m,None,None
Material Characteristics,Youngsmodulus,55.0,GPa,None,None
Material Characteristics,Oxidationresistance,0.98,,None,None
Material Characteristics,Density,2710.0,kg/m³,None,None
Material Characteristics,Hardness,3.0,Mohs,None,None
Material Characteristics,Corrosionresistance,0.65,"dimensionless (resistance index, 0-1 scale)",None,None
Material Characteristics,Compressivestrength,100.0,MPa,None,None
Material Characteristics,Flexuralstrength,11.0,MPa,None,None
Material Characteristics,Tensilestrength,10.0,MPa,None,None
Material Characteristics,Porosity,0.6,%,None,None
Material Characteristics,Laserdamagethreshold,1.2,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.1,dimensionless,0.05,0.15
Laser-Material Interaction,Absorptioncoefficient,5000,m⁻¹,1000,10000
Laser-Material Interaction,Laserdamagethreshold,2.5,J/cm²,1,5
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.8,1.8
Laser-Material Interaction,Reflectivity,0.9,dimensionless,0.85,0.95
Laser-Material Interaction,Thermaldestructionpoint,1100,K,1050,1150
Laser-Material Interaction,Vaporpressure,0.1,Pa,0.01,1
Laser-Material Interaction,Thermaldestruction,825.0,°C,None,None
Laser-Material Interaction,Specificheat,880.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.38,dimensionless,None,None
Laser-Material Interaction,Thermalconductivity,2.8,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,6.5e-06,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,5000.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,1.24e-06,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.2,J/cm²,None,None
,Metric,1064,nm,None,None
