Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Rubber,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: rubber, laser cleaning, composite, fiber-reinforced, material properties",,,,,
# Last Modified: 2025-12-29,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Powerrange,100,W,1.0,120
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,50,μm,0.1,500
Machine Setting,Repetitionrate,50,kHz,1,200
Machine Setting,Energydensity,5.1,J/cm²,0.1,20.0
Machine Setting,Pulsewidth,10,ns,0.1,1000
Machine Setting,Scanspeed,500,mm/s,10,5000
Machine Setting,Passcount,3,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Power,50,W,20,150
Machine Setting,Scan Speed,5000,mm/s,10,5000
Machine Setting,Pulse Width,20,ns,0.1,1000
Machine Setting,Repetition Rate,50,kHz,1,200
Machine Setting,Energy Density,0.5,J/cm²,0.1,20.0
Machine Setting,Spot Size,200,μm,0.1,500
Machine Setting,Pass Count,2,passes,1,10
Machine Setting,Overlap Ratio,50,%,10,90
,Crystallinestructure,mixed,crystal system,None,None
Material Characteristics,Electricalresistivity,10000.0,Ω·m,None,None
Material Characteristics,Fracturetoughness,3.2,MPa m^{0.5},None,None
Material Characteristics,Youngsmodulus,0.003,GPa,None,None
Material Characteristics,Oxidationresistance,36.0,h,None,None
Material Characteristics,Density,1.15,g/cm³,None,None
Material Characteristics,Hardness,65.0,Shore A,None,None
Material Characteristics,Corrosionresistance,0.95,dimensionless (normalized resistance index),None,None
Material Characteristics,Compressivestrength,16.5,MPa,None,None
Material Characteristics,Flexuralstrength,12.5,MPa,None,None
Material Characteristics,Tensilestrength,22.0,MPa,None,None
Material Characteristics,Laserdamagethreshold,0.75,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.85,dimensionless,0.6,0.95
Laser-Material Interaction,Absorptioncoefficient,500000,m⁻¹,100000,1000000
Laser-Material Interaction,Laserdamagethreshold,2.5,J/cm²,0.5,5
Laser-Material Interaction,Thermalshockresistance,1.2,MW/m,0.5,2.5
Laser-Material Interaction,Reflectivity,0.12,dimensionless,0.05,0.35
Laser-Material Interaction,Thermaldestructionpoint,673,K,573,773
Laser-Material Interaction,Vaporpressure,50,Pa,1,500
Laser-Material Interaction,Thermaldestruction,673.0,K,None,None
Laser-Material Interaction,Specificheat,1700.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.07,fraction,None,None
Laser-Material Interaction,Thermalconductivity,0.17,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,0.0002,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,120000.0,m^{-1},None,None
Laser-Material Interaction,Thermaldiffusivity,1.04e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,0.75,J/cm²,None,None
,Metric,1064,nm,None,None
