# Manganese Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/metal/non-ferrous/manganese-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Manganese Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/metal/non-ferrous/manganese-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Manganese,,,,,Material name
Basic,Info,Category,metal,,,,,Material category
Basic,Info,Subcategory,non-ferrous,,,,,Material subcategory
Basic,Info,Slug,manganese-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Manganese oxide removal without substrate damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength for optimal absorption in Manganese oxides
Machine,Settings,spotSize,50,μm,0.1,500,,Beam spot diameter for precise cleaning control
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for continuous cleaning coverage
Machine,Settings,fluenceThreshold,2.5,J/cm²,0.3,4.5,,Minimum fluence required for Manganese oxide removal
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for efficient oxide layer ablation
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for complete oxide removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning coverage
Machine,Settings,power,200,W,50,1000,,Typical range for industrial 1064 nm laser cleaning of reflective metals like manganese; starting at 200 W for contamination removal without excessive heat input. Max safe before substrate melting (Mn melting point ~1246°C) is ~1000 W with proper scanning. Source: Manufacturer specs from IPG Photonics and Coherent for metal cleaning systems; academic review in Optics and Lasers in Engineering (2018).
Machine,Settings,scan_speed,500,mm/s,10,5000,,"Effective range for removing light to heavy contamination on manganese; slower speeds (100-500 mm/s) for heavy oxides, faster (500-2000 mm/s) for light surface prep. Recommended 500 mm/s for optimal balance of efficiency and minimal thermal accumulation given Mn's moderate thermal conductivity (~7.8 W/m·K). Source: Industry standards from Laser Cleaning Association guidelines and equipment manuals from Adapt Laser Systems."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime (5-100 ns) preferred for cost-effective cleaning of manganese; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but higher cost. 20 ns recommended to reduce heat-affected zone on reflective Mn surfaces while ablating contaminants. Source: Laser physics research in Applied Surface Science (2020) on metal ablation thresholds at 1064 nm.
Machine,Settings,repetition_rate,50,kHz,1,200,,Typical 10-100 kHz for pulsed cleaning applications; 50 kHz recommended for manganese to achieve fast processing without excessive heat buildup (high freq increases accumulation on low-conductivity metals like Mn). Trade-off: higher rates speed up cleaning but risk thermal damage. Source: Academic literature in Journal of Applied Physics (2019) on pulse repetition effects in laser ablation of alloys.
Machine,Settings,energy_density,2,J/cm²,0.1,20,,Fluence range for contaminant removal on manganese; damage threshold ~4-5 J/cm² due to high reflectivity (~60% at 1064 nm) and melting point. 2 J/cm² recommended for safe cleaning of oxides without substrate ablation. Source: Ablation threshold studies in Surface and Coatings Technology (2017) for transition metals like Mn.
Machine,Settings,spot_size,200,μm,0.1,500,,"Beam diameter range for industrial cleaning; smaller (50-200 μm) for fine surface prep on manganese, larger (200-500 μm) for broad area decontamination. 200 μm recommended for uniform energy distribution on Mn's surface. Source: Equipment specifications from Trumpf and SPI Lasers for 1064 nm cleaning heads."
Machine,Settings,pass_count,2,passes,1,10,,"1-5 passes typical for complete removal of contaminants; single pass for light rust/oxides on manganese, multi-pass for heavy buildup. 2 passes recommended to ensure thorough cleaning without risking Mn substrate damage. Source: Industry practice in case studies from Laser Institute of America reports on metal surface preparation."
Machine,Settings,overlap_ratio,50,%,10,90,,30-80% overlap for uniform coverage in scanning; 50% recommended for manganese to avoid gaps in cleaning while minimizing over-processing and heat input. Higher overlap for heavy contamination. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2021) on scan strategies for metallic substrates.
Property,material_characteristics,electricalConductivity,694444,S/m,,,ai_research,Material property: electricalConductivity
Property,material_characteristics,electricalResistivity,0.00000144,Ω·m,,,ai_research,Material property: electricalResistivity
Property,material_characteristics,fractureToughness,18,MPa m^{1/2},,,ai_research,Material property: fractureToughness
Property,material_characteristics,surfaceRoughness,0.35,μm,,,ai_research,Material property: surfaceRoughness
Property,material_characteristics,youngsModulus,117,GPa,,,ai_research,Material property: youngsModulus
Property,material_characteristics,oxidationResistance,923,K,,,ai_research,Material property: oxidationResistance
Property,material_characteristics,density,7.44,g/cm³,,,ai_research,Material property: density
Property,material_characteristics,hardness,2.75,GPa,,,ai_research,Material property: hardness
Property,material_characteristics,corrosionResistance,-1.185,V,,,ai_research,Material property: corrosionResistance
Property,material_characteristics,compressiveStrength,310,MPa,,,ai_research,Material property: compressiveStrength
Property,material_characteristics,flexuralStrength,320,MPa,,,ai_research,Material property: flexuralStrength
Property,material_characteristics,tensileStrength,345,MPa,,,ai_research,Material property: tensileStrength
Property,material_characteristics,porosity,0,fraction,,,ai_research,Material property: porosity
Property,material_characteristics,absorptivity,0.45,dimensionless,,,ai_research,Material property: absorptivity
Property,material_characteristics,boilingPoint,2334,K,,,ai_research,Material property: boilingPoint
Property,material_characteristics,absorptionCoefficient,280000000,m^{-1},,,ai_research,Material property: absorptionCoefficient
Property,material_characteristics,meltingPoint,1519,K,,,ai_research,Material property: meltingPoint
Property,material_characteristics,vaporPressure,101325,Pa,,,ai_research,Material property: vaporPressure
Property,material_characteristics,thermalDestructionPoint,1519,K,,,ai_research,Material property: thermalDestructionPoint
Property,material_characteristics,reflectivity,0.65,,,,ai_research,Material property: reflectivity
Property,material_characteristics,thermalShockResistance,85,K,,,ai_research,Material property: thermalShockResistance
Property,material_characteristics,laserDamageThreshold,1.25,J/cm²,,,ai_research,Material property: laserDamageThreshold
Property,laser_material_interaction,absorptionCoefficient,14200000,m⁻¹,,,ai_research,Material property: absorptionCoefficient
Property,laser_material_interaction,absorptivity,0.42,dimensionless,,,ai_research,Material property: absorptivity
Property,laser_material_interaction,laserDamageThreshold,0.15,J/cm²,,,ai_research,Material property: laserDamageThreshold
Property,laser_material_interaction,reflectivity,0.58,dimensionless (ratio),,,ai_research,Material property: reflectivity
Property,laser_material_interaction,thermalDestructionPoint,1519,K,,,ai_research,Material property: thermalDestructionPoint
Property,laser_material_interaction,thermalShockResistance,0.8,MPa·m^0.5,,,ai_research,Material property: thermalShockResistance
Property,laser_material_interaction,vaporPressure,121,Pa,,,ai_research,Material property: vaporPressure
Property,laser_material_interaction,thermalDestruction,1519,K,,,ai_research,Material property: thermalDestruction
Property,laser_material_interaction,specificHeat,479,J/kg·K,,,ai_research,Material property: specificHeat
Property,laser_material_interaction,laserReflectivity,0.62,,,,ai_research,Material property: laserReflectivity
Property,laser_material_interaction,thermalConductivity,7.82,W/m·K,,,ai_research,Material property: thermalConductivity
Property,laser_material_interaction,thermalExpansion,21.7,10^{-6} K^{-1},,,ai_research,Material property: thermalExpansion
Property,laser_material_interaction,laserAbsorption,0.35,dimensionless,,,ai_research,Material property: laserAbsorption
Property,laser_material_interaction,thermalDiffusivity,0.00000219,m²/s,,,ai_research,Material property: thermalDiffusivity
Property,laser_material_interaction,ablationThreshold,1.05,J/cm²,,,ai_research,Material property: ablationThreshold
Application,Industries,Application 1,Aerospace,,,,,Industry application
Application,Industries,Application 2,Automotive,,,,,Industry application
Application,Industries,Application 3,Medical Device Manufacturing,,,,,Industry application
Application,Industries,Application 4,Marine Engineering,,,,,Industry application
Application,Industries,Application 5,Electronics Manufacturing,,,,,Industry application
Application,Industries,Application 6,Cultural Heritage Conservation,,,,,Industry application
Application,Industries,Application 7,Energy Generation,,,,,Industry application
Application,Industries,Application 8,Industrial Manufacturing,,,,,Industry application
Application,Industries,Application 9,Rail Transportation,,,,,Industry application
Application,Industries,Application 10,Mining Equipment,,,,,Industry application
