Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.22,MPa m^{1/2},,
Material Characteristics,youngsModulus,10.3,GPa,,
Material Characteristics,oxidationResistance,0.98,dimensionless (0-1 scale),,
Material Characteristics,density,800.0,kg/m³,,
Material Characteristics,hardness,2.0,Mohs,,
Material Characteristics,corrosionResistance,0.92,dimensionless,,
Material Characteristics,compressiveStrength,5.2,MPa,,
Material Characteristics,flexuralStrength,2.07,MPa,,
Material Characteristics,tensileStrength,0.69,MPa,,
Material Characteristics,laserDamageThreshold,0.65,J/cm²,,
Laser-Material Interaction,absorptivity,0.2,dimensionless,0.1,0.4
Laser-Material Interaction,absorptionCoefficient,50000,m⁻¹,10000,100000
Laser-Material Interaction,laserDamageThreshold,3,J/cm²,1,5
Laser-Material Interaction,thermalShockResistance,1.5,MW/m,0.5,2.5
Laser-Material Interaction,reflectivity,0.8,dimensionless,0.6,0.9
Laser-Material Interaction,thermalDestructionPoint,450,K,400,500
Laser-Material Interaction,vaporPressure,1000,Pa,100,5000
Laser-Material Interaction,thermalDestruction,773.0,K,,
Laser-Material Interaction,specificHeat,1090.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.42,dimensionless,,
Laser-Material Interaction,thermalConductivity,0.25,W/(m·K),,
Laser-Material Interaction,thermalExpansion,1.4e-05,/K,,
Laser-Material Interaction,laserAbsorption,118000.0,m^{-1},,
Laser-Material Interaction,thermalDiffusivity,2.1e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,0.92,J/cm²,,
