# Beech Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/wood/hardwood/beech-laser-cleaning
# Updated: 2025-12-25 | Version: 1.0
#
# Citation: Z-Beam Laser Cleaning Research Lab (2025). Beech Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/wood/hardwood/beech-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Name,Basic,Info,Beech,,,,,Material name
Category,Basic,Info,wood,,,,,Material category
Subcategory,Basic,Info,hardwood,,,,,Material subcategory
Slug,Basic,Info,beech-laser-cleaning,,,,,URL identifier
material_characteristics,Properties,Material,,,,,,"Intrinsic physical, mechanical, chemical, and structural properties affecting cleaning outcomes and material integrity"
laser_material_interaction,Properties,Material,,,,,,"Optical and thermal properties governing laser energy absorption, reflection, propagation, and ablation thresholds"
porosity,Properties,Material,0.59,fraction,,,ai_research,Porosity
tensileStrength,Properties,Material,100.0,MPa,,,ai_research,Tensilestrength
thermalConductivity,Properties,Material,0.17,W/m·K,,,ai_research,Thermalconductivity
thermalDestruction,Properties,Material,573.0,K,,,ai_research,Thermaldestruction
fractureToughness,Properties,Material,0.39,MPa√m,,,ai_research,Fracturetoughness
density,Properties,Material,720.0,kg/m³,,,ai_research,Density
thermalExpansion,Properties,Material,4e-05,K^{-1},,,ai_research,Thermalexpansion
laserAbsorption,Properties,Material,31000.0,m^{-1},,,ai_research,Laserabsorption
oxidationResistance,Properties,Material,19.7,vol% O2,,,ai_research,Oxidationresistance
specificHeat,Properties,Material,1380.0,J/(kg·K),,,ai_research,Specificheat
youngsModulus,Properties,Material,11.4,GPa,,,ai_research,Youngsmodulus
corrosionResistance,Properties,Material,0.25,dimensionless (durability index),,,ai_research,Corrosionresistance
compressiveStrength,Properties,Material,40.0,MPa,,,ai_research,Compressivestrength
flexuralStrength,Properties,Material,100.0,MPa,,,ai_research,Flexuralstrength
hardness,Properties,Material,5782.0,N,,,ai_research,Hardness
laserReflectivity,Properties,Material,0.42,dimensionless,,,ai_research,Laserreflectivity
thermalDiffusivity,Properties,Material,1.63e-07,m²/s,,,ai_research,Thermaldiffusivity
