# Plaster Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: http://localhost:3000/materials/masonry/general/plaster-laser-cleaning
# Updated: 2025-12-22 | Version: 1.0
#
# Citation: Z-Beam (2025). Plaster Laser Cleaning Dataset. Retrieved from http://localhost:3000/materials/masonry/general/plaster-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Plaster,,,,,Material name
Basic,Info,Category,masonry,,,,,Material category
Basic,Info,Subcategory,general,,,,,Material subcategory
Basic,Info,Slug,plaster-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for plaster surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-infrared wavelength optimized for plaster absorption and minimal substrate damage
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for balanced cleaning efficiency and resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage and thermal management
Machine,Settings,energyDensity,2.5,J/cm²,0.1,20,,Fluence level sufficient for contaminant removal while preserving plaster substrate
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for effective contaminant removal with controlled thermal penetration
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning without excessive dwell time
Machine,Settings,passCount,2,passes,1,10,,Recommended number of passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning coverage and efficiency
Machine,Settings,power,100,W,50,500,,"Typical range for industrial laser cleaning of delicate materials like plaster to avoid thermal damage; starting at 100 W for light contamination removal. Max safe below 500 W to prevent substrate cracking due to plaster's low thermal conductivity (~0.5 W/m·K). Source: Manufacturer specs from IPG Photonics YLR series and studies on laser cleaning of gypsum-based plasters (e.g., J. Cult. Herit. 2018)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective range for 1064 nm cleaning on plaster; slower speeds (500-1000 mm/s) for heavy contamination, faster (2000-3000 mm/s) for light. Recommended 1500 mm/s balances efficiency and safety. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems)."
Machine,Settings,pulse_width,20,ns,0.1,1000,,Nanosecond regime preferred for cost-effective cleaning of plaster; picosecond (ps) or femtosecond reduces HAZ but less common at 1064 nm for industrial use. 20 ns minimizes heat accumulation on low-melting-point plaster (~150°C dehydration). Source: Laser physics research in Opt. Lasers Eng. (2015) on ablation of calcium sulfate materials.
Machine,Settings,repetition_rate,30,kHz,1,200,,"Typical for pulsed 1064 nm lasers in cleaning; 30 kHz recommended for plaster to achieve fast coverage without excessive heat buildup, trading off speed vs. thermal load. Higher rates (>50 kHz) risk accumulation on low-conductivity substrates. Source: Academic literature, e.g., Appl. Surf. Sci. (2019) on stone/plaster cleaning parameters."
Machine,Settings,energy_density,0.8,J/cm²,0.1,20,,Fluence range for contaminant removal without ablating plaster; damage threshold ~1.5-2.0 J/cm² for gypsum due to reflectivity (~0.3 at 1064 nm) and low melting point. Recommended 0.8 J/cm² for safe surface preparation. Source: Ablation threshold studies in J. Appl. Phys. (2017) and historical artifact cleaning papers.
Machine,Settings,spot_size,300,μm,0.1,500,,"Beam diameter range for precision vs. area coverage; 300 μm recommended for plaster to focus energy on contaminants while sparing porous substrate. Smaller for fine details, larger for broad industrial prep. Source: Equipment specifications from Coherent and Trumpf laser cleaners."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for heavy layers on plaster to gradually remove without damage. Recommended 2 passes for uniform results in industrial settings. Source: Industry case studies, e.g., restoration projects in Constr. Build. Mater. (2020)."
Machine,Settings,overlap_ratio,50,%,10,90,,Ensures uniform coverage without gaps or overexposure; 50% recommended for plaster cleaning to optimize energy distribution and minimize uneven heating. Typical 30-80% based on scan patterns. Source: Process optimization studies in Lasers Manuf. Mater. Process. (2016).
Property,material_characteristics,fractureToughness,0.22,MPa m^{1/2},,,ai_research,Material property: fractureToughness
Property,material_characteristics,youngsModulus,10.3,GPa,,,ai_research,Material property: youngsModulus
Property,material_characteristics,oxidationResistance,0.98,dimensionless (0-1 scale),,,ai_research,Material property: oxidationResistance
Property,material_characteristics,density,800,kg/m³,,,ai_research,Material property: density
Property,material_characteristics,hardness,2,Mohs,,,ai_research,Material property: hardness
Property,material_characteristics,corrosionResistance,0.92,dimensionless,,,ai_research,Material property: corrosionResistance
Property,material_characteristics,compressiveStrength,5.2,MPa,,,ai_research,Material property: compressiveStrength
Property,material_characteristics,flexuralStrength,2.07,MPa,,,ai_research,Material property: flexuralStrength
Property,material_characteristics,tensileStrength,0.69,MPa,,,ai_research,Material property: tensileStrength
Property,material_characteristics,laserDamageThreshold,0.65,J/cm²,,,scientific_literature,Material property: laserDamageThreshold
Property,laser_material_interaction,absorptivity,0.2,dimensionless,0.1,0.4,ai_research,Material property: absorptivity
Property,laser_material_interaction,absorptionCoefficient,50000,m⁻¹,10000,100000,ai_research,Material property: absorptionCoefficient
Property,laser_material_interaction,laserDamageThreshold,3,J/cm²,1,5,ai_research,Material property: laserDamageThreshold
Property,laser_material_interaction,thermalShockResistance,1.5,MW/m,0.5,2.5,ai_research,Material property: thermalShockResistance
Property,laser_material_interaction,reflectivity,0.8,dimensionless,0.6,0.9,ai_research,Material property: reflectivity
Property,laser_material_interaction,thermalDestructionPoint,450,K,400,500,ai_research,Material property: thermalDestructionPoint
Property,laser_material_interaction,vaporPressure,1000,Pa,100,5000,ai_research,Material property: vaporPressure
Property,laser_material_interaction,thermalDestruction,773,K,,,ai_research,Material property: thermalDestruction
Property,laser_material_interaction,specificHeat,1090,J/(kg·K),,,ai_research,Material property: specificHeat
