Category,Property,Value,Unit,Min,Max
Material Characteristics,youngsModulus,200.0,GPa,,
Material Characteristics,oxidationResistance,773.0,K,,
Material Characteristics,density,7850.0,kg/m³,,
Material Characteristics,hardness,60.0,HRC,,
Material Characteristics,corrosionResistance,0.3,dimensionless (resistance index),,
Material Characteristics,compressiveStrength,1850.0,MPa,,
Material Characteristics,flexuralStrength,1720.0,MPa,,
Material Characteristics,tensileStrength,1520.0,MPa,,
Material Characteristics,fractureToughness,22.0,MPa√m,,
Material Characteristics,porosity,0.0,%,,
Material Characteristics,electricalResistivity,2.5e-07,Ω·m,,
Material Characteristics,absorptivity,0.35,dimensionless,,
Material Characteristics,boilingPoint,3134.0,K,,
Material Characteristics,absorptionCoefficient,48000000.0,m^{-1},,
Material Characteristics,electricalConductivity,2130000.0,S/m,,
Material Characteristics,meltingPoint,1450.0,°C,,
Material Characteristics,vaporPressure,4.2,Pa,,
Material Characteristics,thermalDestructionPoint,1440.0,°C,,
Material Characteristics,reflectivity,0.65,,,
Material Characteristics,thermalShockResistance,310.0,K,,
Material Characteristics,surfaceRoughness,0.4,μm,,
Material Characteristics,laserDamageThreshold,2.1,J/cm²,,
Laser-Material Interaction,absorptivity,0.3,dimensionless,0.1,0.5
Laser-Material Interaction,absorptionCoefficient,50000000.0,m⁻¹,10000000.0,100000000.0
Laser-Material Interaction,laserDamageThreshold,2.5,J/cm²,0.5,10
Laser-Material Interaction,thermalShockResistance,2.5,MW/m,1,4
Laser-Material Interaction,reflectivity,0.7,dimensionless,0.5,0.9
Laser-Material Interaction,thermalDestructionPoint,1723,K,1600,1800
Laser-Material Interaction,vaporPressure,1,Pa,0.1,10
Laser-Material Interaction,thermalDestruction,1723.0,K,,
Laser-Material Interaction,specificHeat,480.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.68,fraction,,
Laser-Material Interaction,thermalConductivity,25.0,W/m·K,,
Laser-Material Interaction,thermalExpansion,1.15e-05,K^{-1},,
Laser-Material Interaction,laserAbsorption,0.35,,,
Laser-Material Interaction,thermalDiffusivity,5e-06,m²/s,,
Laser-Material Interaction,ablationThreshold,1.45,J/cm²,,
