# Limestone Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/stone/sedimentary/limestone-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Limestone Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/stone/sedimentary/limestone-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Limestone,,,,,Material name
Basic,Info,Category,stone,,,,,Material category
Basic,Info,Subcategory,sedimentary,,,,,Material subcategory
Basic,Info,Slug,limestone-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for limestone cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-IR wavelength optimized for limestone absorption and minimal scattering
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for balanced cleaning efficiency and resolution
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage and thermal management
Machine,Settings,energyDensity,12,J/cm²,0.1,20,,Fluence threshold for effective contaminant removal while preserving limestone surface
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for effective contaminant removal with minimal substrate damage
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning without excessive overlap
Machine,Settings,passCount,3,passes,1,10,,Recommended number of passes for thorough cleaning of limestone surfaces
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap percentage for uniform cleaning coverage
Machine,Settings,power,200,W,50,1000,,"Typical range for industrial 1064 nm Nd:YAG lasers cleaning limestone; starting at 50-100 W to avoid thermal damage; max safe below 1000 W to prevent substrate cracking, based on manufacturer specs from Adapt Laser Systems and studies on stone ablation (e.g., Pou et al., Applied Surface Science, 2003)."
Machine,Settings,scan_speed,1000,mm/s,10,5000,,"Effective range for contamination removal; slower (100-500 mm/s) for heavy soiling like graffiti, faster (up to 5000 mm/s) for light dust; recommended 1000 mm/s for balanced efficiency on limestone, per industry standards from LaserCladding Technologies manuals and case studies on cultural heritage cleaning."
Machine,Settings,pulse_width,20,ns,0.1,1000,,"Nanosecond regime preferred for cost-effective cleaning of limestone; picosecond (ps) or femtosecond reduces heat-affected zone (HAZ) but increases cost; 20 ns recommended for minimal thermal damage to CaCO3 substrate, from laser physics research (e.g., S. J. Henley et al., Applied Physics A, 2004)."
Machine,Settings,repetition_rate,30,kHz,1,200,,"Typical for pulsed 1064 nm systems; 30 kHz balances cleaning speed and heat accumulation on low-conductivity limestone; higher rates (>50 kHz) risk overheating, lower for precision; sourced from academic literature on pulse train effects (e.g., J. C. S. Lai et al., Optics and Lasers in Engineering, 2010)."
Machine,Settings,energy_density,1.5,J/cm²,0.1,20,,"Fluence range for safe removal of contaminants without ablating limestone; damage threshold ~3-5 J/cm² due to CaCO3 decomposition; 1.5 J/cm² recommended for industrial cleaning, based on ablation threshold studies (e.g., R. P. Forbes et al., Journal of Cultural Heritage, 2003)."
Machine,Settings,spot_size,300,μm,0.1,500,,"Beam diameter range for 1064 nm cleaning; smaller (100-300 μm) for fine details like engravings, larger (up to 1 mm) for broad surfaces; 300 μm recommended for uniform limestone cleaning, from equipment specifications by IPG Photonics and process optimization in stone conservation."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light contamination, multi-pass (2-5) for heavy layers; 2 passes recommended for complete removal on limestone without excessive exposure, per industry practice and case studies (e.g., European project on laser cleaning of monuments, 2015)."
Machine,Settings,overlap_ratio,50,%,10,90,,"Ensures uniform coverage; 50% recommended for even cleaning on irregular limestone surfaces, avoiding gaps or overexposure; range from process optimization studies (e.g., A. Nevin et al., Analytical and Bioanalytical Chemistry, 2007)."
