Category,Property,Value,Unit,Min,Max
Material Characteristics,fractureToughness,0.32,MPa√m,,
Material Characteristics,youngsModulus,10.3,GPa,,
Material Characteristics,oxidationResistance,19.0,%,,
Material Characteristics,density,600.0,kg/m³,,
Material Characteristics,hardness,2937.0,N,,
Material Characteristics,corrosionResistance,0.2,dimensionless (durability index 0-1),,
Material Characteristics,compressiveStrength,38.0,MPa,,
Material Characteristics,flexuralStrength,38.0,MPa,,
Material Characteristics,tensileStrength,48.0,MPa,,
Material Characteristics,porosity,0.65,fraction,,
Material Characteristics,laserDamageThreshold,12.5,J/cm²,,
Laser-Material Interaction,absorptivity,0.85,dimensionless,0.7,0.95
Laser-Material Interaction,absorptionCoefficient,4500000,m⁻¹,1000000,10000000
Laser-Material Interaction,laserDamageThreshold,3.5,J/cm²,1.0,10.0
Laser-Material Interaction,thermalShockResistance,1.2,MW/m,0.5,2.0
Laser-Material Interaction,reflectivity,0.12,dimensionless,0.05,0.25
Laser-Material Interaction,thermalDestructionPoint,550,K,450,650
Laser-Material Interaction,vaporPressure,150,Pa,10,1000
Laser-Material Interaction,thermalDestruction,250.0,°C,,
Laser-Material Interaction,specificHeat,1700.0,J/(kg·K),,
Laser-Material Interaction,laserReflectivity,0.035,dimensionless (fraction),,
Laser-Material Interaction,thermalConductivity,0.13,W/m·K,,
Laser-Material Interaction,thermalExpansion,7e-06,1/K,,
Laser-Material Interaction,laserAbsorption,0.92,dimensionless,,
Laser-Material Interaction,thermalDiffusivity,1.2e-07,m²/s,,
Laser-Material Interaction,ablationThreshold,2.3,J/cm²,,
