Category,Property,Value,Unit,Min,Max
# Dataset Version: 3.0,,,,,
# Dataset: Polyester Resin Composites,,,,,
# License: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/),,,,,
"# Keywords: polyester resin composites, laser cleaning, composite, fiber-reinforced, material properties",,,,,
# Last Modified: 2026-01-09,,,,,
"# Citations: ANSI Z136.1, ISO 11146, IEC 60825",,,,,
#,,,,,
Machine Setting,Wavelength,1064,nm,355,10640
Machine Setting,Spotsize,200,μm,0.1,500
Machine Setting,Pulsewidth,20,ns,0.1,1000
Machine Setting,Scanspeed,2000,mm/s,10,5000
Machine Setting,Passcount,2,passes,1,10
Machine Setting,Overlapratio,50,%,10,90
Machine Setting,Fluence,3.0,J/cm²,3.0,5
Machine Setting,Energydensity,1.5,J/cm²,0.1,20.0
Machine Setting,Laserpower,90,W,1.0,120
Machine Setting,Laserpoweralternative,100,W,20,500
Machine Setting,Frequency,30,kHz,1,200
,Crystallinestructure,mixed,crystal system,None,None
Material Characteristics,Electricalresistivity,10000000000.0,Ω·m,None,None
Material Characteristics,Fracturetoughness,2.4,MPa√m,None,None
Material Characteristics,Youngsmodulus,18.5,GPa,None,None
Material Characteristics,Oxidationresistance,210.0,°C,None,None
Material Characteristics,Density,1.5,g/cm³,None,None
Material Characteristics,Hardness,50.0,Barcol,None,None
Material Characteristics,Corrosionresistance,0.92,dimensionless,None,None
Material Characteristics,Compressivestrength,250.0,MPa,None,None
Material Characteristics,Flexuralstrength,220.0,MPa,None,None
Material Characteristics,Tensilestrength,70.0,MPa,None,None
Material Characteristics,Laserdamagethreshold,1.8,J/cm²,None,None
Laser-Material Interaction,Absorptivity,0.25,dimensionless,0.05,0.5
Laser-Material Interaction,Absorptioncoefficient,500000,m⁻¹,10000,1000000
Laser-Material Interaction,Laserdamagethreshold,3.0,J/cm²,0.5,10.0
Laser-Material Interaction,Thermalshockresistance,1.5,MW/m,0.5,3.0
Laser-Material Interaction,Reflectivity,0.7,dimensionless,0.4,0.9
Laser-Material Interaction,Thermaldestructionpoint,673,K,600,750
Laser-Material Interaction,Vaporpressure,50,Pa,0.1,1000
Laser-Material Interaction,Thermaldestruction,673.0,K,None,None
Laser-Material Interaction,Specificheat,1170.0,J/(kg·K),None,None
Laser-Material Interaction,Laserreflectivity,0.06,fraction,None,None
Laser-Material Interaction,Thermalconductivity,0.35,W/m·K,None,None
Laser-Material Interaction,Thermalexpansion,2.5e-05,K^{-1},None,None
Laser-Material Interaction,Laserabsorption,0.12,,None,None
Laser-Material Interaction,Thermaldiffusivity,1.1e-07,m²/s,None,None
Laser-Material Interaction,Ablationthreshold,1.2,J/cm²,None,None
,Metric,1064,nm,None,None
