Category,Property,Value,Unit,Min,Max
Material Characteristics,density,2.7,g/cm³,,
Material Characteristics,porosity,3,%,,
Material Characteristics,surfaceRoughness,8,μm,,
Material Characteristics,tensileStrength,120,MPa,,
Material Characteristics,youngsModulus,50,GPa,,
Material Characteristics,hardness,1.8,GPa,,
Material Characteristics,flexuralStrength,180,MPa,,
Material Characteristics,oxidationResistance,8,μm/year,,
Material Characteristics,corrosionResistance,0.85,mm/year,,
Material Characteristics,compressiveStrength,120,MPa,,
Material Characteristics,fractureToughness,6,MPa m^{1/2},,
Material Characteristics,electricalResistivity,1000000000000.0,Ω·m,,
Laser-Material Interaction,thermalDestruction,1273,K,,
Laser-Material Interaction,laserAbsorption,0.3,dimensionless,,
Laser-Material Interaction,laserDamageThreshold,1.8,J/cm²,,
Laser-Material Interaction,ablationThreshold,2.3,J/cm²,,
Laser-Material Interaction,thermalDiffusivity,1.3e-06,m²/s,,
Laser-Material Interaction,thermalExpansion,9.2e-06,K^{-1},,
Laser-Material Interaction,specificHeat,840.0,J/(kg·K),,
Laser-Material Interaction,thermalConductivity,2.3,W/m·K,,
Laser-Material Interaction,laserReflectivity,0.12,,,
