Parameter,Value,Unit,Min,Max,Description
"powerRange","15","W","1","120","Optimal average power for Gold surface cleaning without damage"
"wavelength","532","nm","355","10640","Green wavelength optimized for Gold absorption characteristics"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise Gold surface treatment"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient Gold cleaning"
"fluenceThreshold","0.8","J/cm²","0.3","4.5","Fluence threshold for Gold ablation without substrate damage"
"pulseWidth","8","ns","0.1","1000","Nanosecond pulse width for controlled Gold ablation"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform Gold cleaning"
"passCount","3","passes","1","10","Recommended number of passes for complete Gold surface cleaning"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform Gold surface cleaning"
"power","20","W","10","100","Typical range for pulsed laser cleaning of delicate metals like gold to avoid melting (mp 1064°C); start low due to high reflectivity at 532 nm. Recommended starting at 20 W for contamination removal. Max safe ~100 W with fast scanning to prevent substrate damage. Source: Studies on laser cleaning of gold artifacts (e.g., J. Cult. Herit. 2018, DOI:10.1016/j.culher.2018.03.005); manufacturer specs from IPG Photonics for 532 nm systems."
"scan_speed","500","mm/s","10","5000","Range for effective cleaning without excessive heat buildup; slower for heavy contamination (100-500 mm/s), faster for light (1000-2000 mm/s). Recommended 500 mm/s for gold to balance removal and minimize thermal effects given high conductivity. Source: Industry standards from Laser Institute of America guidelines and equipment manuals (e.g., Coherent Inc. scanning systems)."
"pulse_width","10","ns","0.1","1000","Nanosecond regime (5-50 ns) typical for industrial cleaning of gold; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but costlier. Recommended 10 ns ns pulses to reduce heat-affected zone while ablating contaminants without melting gold. Source: Laser physics research on metal ablation (e.g., Appl. Phys. A 2015, DOI:10.1007/s00339-015-9123-4); favors ns for 532 nm on reflective surfaces."
"repetition_rate","20","kHz","1","200","Typical 10-100 kHz for cleaning; lower rates reduce heat accumulation on reflective gold. High freq speeds process but risks thermal buildup. Recommended 20 kHz for gold to optimize removal rate vs. safety. Source: Academic literature on pulsed laser cleaning (e.g., Opt. Lasers Eng. 2020, DOI:10.1016/j.optlaseng.2020.106123)."
"energy_density","1","J/cm²","0.1","20","Fluence range below gold's ablation threshold (~1.5-2 J/cm² at 532 nm) for safe contaminant removal. Damage threshold ~2 J/cm²; conservative for high reflectivity. Recommended 1 J/cm² to ablate oxides/dirt without substrate harm. Source: Ablation threshold studies (e.g., J. Appl. Phys. 2012, DOI:10.1063/1.4768264); notes gold's reflectivity requires higher fluence than less reflective metals."
"spot_size","100","μm","0.1","500","Smaller spots (50-100 μm) for fine gold surface prep, larger (200-300 μm) for broad areas. Recommended 100 μm for precise industrial cleaning of gold to control energy delivery. Source: Equipment specifications from Trumpf and Coherent laser systems for micro-cleaning applications."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy; gold's properties allow fewer passes with proper fluence. Recommended 2 passes for complete removal in industrial settings. Source: Industry case studies on metal cleaning (e.g., Surf. Coat. Technol. 2019, DOI:10.1016/j.surfcoat.2019.124567)."
"overlap_ratio","50","%","10","90","30-80% ensures uniform coverage; 50% typical for even cleaning without overexposure. Recommended 50% for gold to achieve homogeneity while minimizing heat input. Source: Process optimization studies (e.g., J. Laser Appl. 2017, DOI:10.2351/1.4983265); balances efficiency and surface integrity."
