Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for GFRP surface cleaning without matrix damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption in surface contaminants with minimal GFRP damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise surface cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Threshold fluence for effective contaminant removal without fiber damage"
"energyDensity","3","J/cm²","0.1","20","Optimal energy density for GFRP surface processing"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","2","passes","1","10","Number of cleaning passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Beam overlap percentage for uniform cleaning coverage"
"dwellTime","0.2","ms","","","Optimal dwell time per spot for effective cleaning"
