Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for concrete surface cleaning and contaminant removal"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for concrete absorption and minimal substrate damage"
"spotSize","0.8","mm","0.1","500","Beam spot diameter for effective cleaning coverage and energy density control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage without thermal buildup"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal while preserving concrete integrity"
"pulseWidth","12","ns","0.1","1000","Pulse duration balancing efficient contaminant removal with concrete substrate preservation"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning with sufficient energy deposition"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning coverage"
"power","500","W","100","2000","Typical range for industrial 1064 nm laser cleaning of concrete surfaces (e.g., graffiti or rust removal); starting at 500 W balances efficiency and safety to avoid thermal cracking. Max safe below substrate damage threshold (~1000-1500 W depending on fluence). Source: CleanLaser and IPG Photonics equipment specs; academic review in J. Laser Appl. (2018) on stone/concrete cleaning."
"scan_speed","1000","mm/s","10","5000","Effective range for contamination removal on concrete; slower (100-500 mm/s) for heavy soiling like rust, faster (2000-5000 mm/s) for light contaminants. Recommended 1000 mm/s for optimal balance of cleaning rate and uniformity, considering concrete's low thermal conductivity. Source: Industry standards from Laser Clean Tech manuals; case study in Opt. Lasers Eng. (2020)."
"pulse_width","50","ns","0.1","1000","Nanosecond regime (10-150 ns) typical for concrete to enable ablation with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) reduces HAZ further but increases cost. Recommended 50 ns for efficient contaminant removal without cracking porous concrete. Source: Laser physics research in Appl. Surf. Sci. (2019) on pulsed laser ablation of cementitious materials."
"repetition_rate","50","kHz","1","200","Standard range for 1064 nm cleaning; higher rates (50-100 kHz) speed up process but risk heat accumulation in low-conductivity concrete. Recommended 50 kHz for balanced throughput and thermal management. Source: Academic literature in J. Clean. Prod. (2021) on industrial laser parameters for building materials."
"energy_density","2","J/cm²","0.1","20","Fluence range for safe contaminant ablation (e.g., paints or oxides); concrete damage threshold ~8-12 J/cm² to prevent spalling. Recommended 2 J/cm² for effective cleaning below threshold, accounting for variable reflectivity at 1064 nm. Source: Ablation threshold studies in Surf. Coat. Technol. (2017) and Opt. Express (2022) on concrete laser interactions."
"spot_size","1000","μm","0.1","1200","Beam diameter range for cleaning; smaller (100-500 μm) for fine details like cracks, larger (1-5 mm) for broad surface prep. Recommended 1000 μm (1 mm) for uniform coverage on rough concrete surfaces. Source: Equipment specifications from Coherent and Trumpf lasers; process optimization in Lasers Manuf. Mater. Process. (2020)."
"pass_count","3","passes","1","10","Single pass for light contamination, multi-pass (3-5) for heavy layers to ensure complete removal without excessive energy input. Recommended 3 passes for typical industrial concrete cleaning to achieve uniform results. Source: Industry case studies in Constr. Build. Mater. (2019) on laser surface preparation."
"overlap_ratio","50","%","10","90","Standard overlap for uniform scan coverage; 30-50% for faster large-area cleaning, 50-80% for detailed work to avoid gaps on uneven concrete. Recommended 50% for balanced efficiency and homogeneity. Source: Process optimization studies in J. Laser Appl. (2021) and manufacturer guidelines from Adapt Laser Systems."
