Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Poplar surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-infrared wavelength for optimal Poplar absorption and minimal subsurface damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control on Poplar grain structure"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage on Poplar surfaces"
"energyDensity","1.2","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without wood substrate damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant removal with minimal wood damage"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient Poplar surface cleaning"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal from Poplar"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage on Poplar surfaces"
"dwellTime","100","μs","","","Optimal dwell time per spot for effective cleaning without thermal accumulation"
