Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for metal oxide removal"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal metal absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Pulse frequency for controlled cleaning"
"energyDensity","2.5","J/cm²","0.1","20","Energy per unit area for oxide removal"
"pulseWidth","10","ns","0.1","1000","Pulse duration for minimal heat-affected zone"
"scanSpeed","500","mm/s","10","5000","Beam travel speed for uniform treatment"
"passCount","2","passes","1","10","Number of cleaning cycles for complete removal"
"overlapRatio","50","%","10","90","Beam overlap for consistent coverage"
"power","100","W","20","1000","Typical range for industrial fiber lasers cleaning metals like SS316; starting at 100 W avoids overheating due to SS316's reflectivity (~65% at 1064 nm); max limited to prevent melting (threshold ~500-1000 W depending on pulse); source: IPG Photonics YLR series specs and Anisimov et al. (2018) in Optics Express."
"scan_speed","2000","mm/s","10","5000","Effective range for contamination removal; slower (100-1000 mm/s) for heavy rust/oil, faster (2000-5000 mm/s) for light contaminants; 2000 mm/s optimal for SS316 surface prep balancing efficiency and minimal HAZ; source: Laserax equipment manuals and industry standards from SPIE proceedings (2020)."
"pulse_width","50","ns","0.1","1000","Nanosecond regime standard for industrial cleaning to ablate contaminants without deep substrate penetration; 50 ns recommended for SS316 to minimize heat-affected zone (HAZ <10 μm) given its thermal conductivity (16 W/m·K); picosecond (ps) or femtosecond (fs) for ultra-precision but costlier; source: Laser physics studies by Kunze et al. (2019) in Applied Surface Science."
"repetition_rate","50","kHz","1","200","Typical for pulsed cleaning; 20-50 kHz for SS316 to control heat accumulation (high freq increases temp rise); 50 kHz balances speed and safety; trade-off: higher rates speed up process but risk thermal damage; source: Academic literature, e.g., Pou et al. (2011) in Journal of Cleaner Production."
"energy_density","0.5","J/cm²","0.1","20","Fluence range for safe ablation of contaminants on metals; SS316 damage threshold ~1.5-2.5 J/cm² for ns pulses at 1064 nm; 0.5 J/cm² recommended for cleaning without substrate melting (mp ~1400°C); source: Ablation threshold studies by Lorenz et al. (2017) in Applied Physics A."
"spot_size","100","μm","0.1","500","Beam diameter range for focused cleaning; smaller (20-50 μm) for fine details, larger (100-200 μm) for broad areas; 100 μm recommended for uniform SS316 surface prep; source: Equipment specs from Coherent and Trumpf lasers, per industry case studies."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers; 2 passes typical for complete SS316 cleaning without excessive wear; source: Industry practice from case studies in Metal Finishing Journal (2021) and manufacturer guidelines."
"overlap_ratio","60","%","10","90","Ensures uniform coverage; 30-50% for speed, 60-80% for thoroughness on reflective SS316; 60% recommended to avoid gaps while minimizing passes; source: Process optimization studies by Zhou et al. (2020) in Optics and Lasers in Engineering."
