Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for metal oxide removal"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal metal absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Pulse frequency for controlled cleaning"
"energyDensity","2.5","J/cm²","0.1","20","Energy per unit area for oxide removal"
"pulseWidth","10","ns","0.1","1000","Pulse duration for minimal heat-affected zone"
"scanSpeed","500","mm/s","10","5000","Beam travel speed for uniform treatment"
"passCount","2","passes","1","10","Number of cleaning cycles for complete removal"
"overlapRatio","50","%","10","90","Beam overlap for consistent coverage"
"power","200","W","50","1000","Typical range for industrial cleaning of copper alloys like Aluminum Bronze to ablate contaminants without melting; starting at 200W balances efficiency and safety. Max limited to avoid thermal damage given alloy's ~1040°C melting point. Source: IPG Photonics YLR series specs and studies in Optics and Lasers in Engineering (2018) on metal surface cleaning."
"scan_speed","1500","mm/s","10","5000","Effective speeds for 1064 nm cleaning; lower for heavy contamination (e.g., oxide layers on Aluminum Bronze), higher for light rust/oil. 1500 mm/s recommended for optimal contaminant removal without excessive heat buildup. Source: Industry standards from Laserax manuals and Journal of Laser Applications (2020) case studies on bronze alloys."
"pulse_width","50","ns","0.1","1000","Nanosecond regime dominant for cost-effective industrial cleaning; picosecond (ps) or femtosecond (fs) reduce HAZ but are less common for Aluminum Bronze due to high reflectivity. 50 ns recommended for minimal thermal effects on conductive alloys. Source: Laser physics research in Applied Surface Science (2019) comparing pulse regimes for Cu-Al alloys."
"repetition_rate","50","kHz","1","200","Typical for pulsed fiber lasers in cleaning; higher rates speed up process but risk heat accumulation in reflective Aluminum Bronze. 50 kHz balances speed and thermal management. Trade-off: >80 kHz may require cooling. Source: Academic literature in Lasers in Manufacturing and Materials Processing (2021) on repetition rate effects."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant ablation; Aluminum Bronze damage threshold ~8-12 J/cm² at 1064 nm due to reflectivity (~40-60%). 1.5 J/cm² recommended for cleaning without substrate etching. Source: Ablation threshold studies in Journal of Applied Physics (2017) and SPIE proceedings on metal cleaning."
"spot_size","200","μm","0.1","500","Beam diameter for precise industrial cleaning; smaller for fine details on Aluminum Bronze parts, larger for broad surfaces. 200 μm recommended for uniform energy distribution and efficiency. Source: Equipment specs from Coherent and Trumpf laser systems, optimized for alloy surface prep."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy layers like marine corrosion on Aluminum Bronze. 2 passes recommended for complete removal with minimal risk. Source: Industry practice in case studies from Surface and Coatings Technology (2022) on bronze cleaning applications."
"overlap_ratio","60","%","10","90","Ensures uniform coverage without gaps or over-ablation; 60% typical for Aluminum Bronze to account for reflectivity variations. Range adjusted for contamination thickness. Source: Process optimization studies in Optics & Laser Technology (2020) on scan strategies for metals."
