Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Tool Steel oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength with good absorption in Tool Steel oxides and contaminants"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution and energy density control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage with controlled thermal input"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without damaging Tool Steel substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant ablation with minimal thermal diffusion"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient area coverage while maintaining cleaning effectiveness"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal from Tool Steel surfaces"
"overlapRatio","50","%","10","90","Optimal pulse overlap for uniform cleaning coverage without excessive thermal buildup"
"power","200","W","50","1000","Typical range for industrial 1064 nm laser cleaning of tool steels to remove contaminants without excessive heating; recommended starting value balances efficiency and safety. Source: IPG Photonics YLR series specs for metal surface preparation (50-500 W common), with max limited to avoid melting (tool steel melting point ~1400-1500°C)."
"scan_speed","2000","mm/s","10","5000","Range for effective contaminant removal on tool steel, slower for heavy rust/oil, faster for light dust; 2000 mm/s optimal for uniform cleaning at moderate power. Source: Industry standards from Laserax equipment manuals and studies in Optics and Lasers in Engineering (2018) on steel ablation."
"pulse_width","50","ns","0.1","1000","Nanosecond regime typical for industrial cleaning to achieve ablation with minimal heat-affected zone (HAZ <10 μm on tool steel); picosecond (ps) or femtosecond (fs) for ultra-precise but costlier applications. Source: Laser physics research in Applied Surface Science (2020) showing ns pulses optimal for metals with high thermal conductivity like tool steel."
"repetition_rate","50","kHz","1","200","Typical for pulsed fiber lasers in cleaning; 50 kHz recommended for tool steel to enable fast processing while limiting heat accumulation (trade-off: higher rates increase speed but risk thermal buildup). Source: Academic literature in Journal of Laser Applications (2019) on pulse train effects in metal cleaning."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe contaminant ablation on tool steel (reflectivity ~0.4 at 1064 nm); below damage threshold of ~4-5 J/cm² to prevent surface pitting. Source: Ablation threshold studies in Surface and Coatings Technology (2017) for alloy steels, conservative for tool steel's hardness."
"spot_size","200","μm","0.1","500","Beam diameter range for cleaning tool steel; smaller for fine details (e.g., tool edges), larger for broad surfaces; 200 μm recommended for balanced resolution and coverage. Source: Equipment specifications from Coherent and Trumpf laser systems for industrial metal processing."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy oxide layers on tool steel; 2 passes typical for complete removal without substrate damage. Source: Industry case studies in Proceedings of SPIE (2021) on laser cleaning of hardened steels."
"overlap_ratio","50","%","10","90","Overlap ensures uniform fluence distribution on reflective tool steel surfaces; 50% recommended for even cleaning without gaps or over-ablation. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2019), standard for scanned beam paths."
