Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal power range for Sapphire Glass cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Optimal wavelength for Sapphire Glass processing with good absorption"
"spotSize","50","μm","0.1","500","Optimal spot size for precision cleaning of Sapphire Glass surfaces"
"repetitionRate","100","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","5","J/cm²","0.1","20","Optimal energy density for effective contaminant removal"
"pulseWidth","10","ns","0.1","1000","Optimal pulse width for controlled ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Optimal number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal overlap ratio between adjacent laser tracks"
"dwellTime","100","μs","","","Optimal dwell time per cleaning spot location"
