Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for phenolic resin composite cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for phenolic resin absorption and minimal substrate damage"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning control on composite surfaces"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective phenolic resin removal"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of phenolic resin matrix"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive heat accumulation"
"power","100","W","50","500","Typical range for pulsed Nd:YAG lasers in composite cleaning to avoid thermal damage; starting at 100W for light contamination on phenolics, which have low thermal conductivity (~0.2 W/m·K). Max safe ~300W to prevent charring (melting point ~200-300°C). Source: IPG Photonics specs and studies in Optics and Lasers in Engineering (2018) on polymer composites."
"scan_speed","1500","mm/s","10","5000","Effective range for 1064 nm cleaning of contaminants; slower (500-1000 mm/s) for heavy soiling, faster (2000-3000 mm/s) for light; 1500 mm/s optimal for uniform removal without substrate heating on low-reflectivity phenolics (~10-20% at 1064 nm). Source: Industry standards from Laserax manuals and J. Cleaner Production (2020) case studies."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred over ps/fs for cost-effective cleaning with minimal heat-affected zone (HAZ <50 μm); 20 ns balances ablation efficiency and reduced thermal diffusion in phenolics. Ps (10-100 ps) for ultra-precise work but higher cost. Source: Laser physics in Applied Surface Science (2019) on polymer ablation thresholds."
"repetition_rate","30","kHz","1","200","Typical for industrial cleaning; 30 kHz recommended for phenolics to achieve fast processing while limiting heat accumulation (high freq >50 kHz risks cumulative heating due to low conductivity). Trade-off: higher rates speed up cleaning but increase HAZ. Source: Academic literature in Journal of Laser Applications (2021)."
"energy_density","1","J/cm²","0.1","20","Fluence range for contaminant removal; damage threshold for phenolics ~1.5-2.5 J/cm² at 1064 nm due to moderate absorption; 1.0 J/cm² safe for cleaning without ablation of substrate. Conservative for thermal sensitivity. Source: Ablation studies in Composites Part B (2017) and Optics Express (2022)."
"spot_size","300","μm","0.1","500","Beam diameter range for precision vs. area coverage; 300 μm recommended for phenolic composites in surface prep to focus energy and minimize overshoot on irregular surfaces. Smaller for fine details, larger for broad areas. Source: Equipment specs from Coherent Inc. and process optimization in Industrial Laser Solutions (2020)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-3) for heavy; 2 passes typical for complete removal on phenolics without excessive heat buildup. Source: Industry practice in aerospace case studies (e.g., AIAA Journal, 2019) and manufacturer guidelines."
"overlap_ratio","50","%","10","90","Ensures uniform coverage; 50% recommended for phenolic composites to avoid gaps or overexposure, balancing efficiency and even fluence distribution. Higher (60-80%) for heavy contamination. Source: Process optimization in Surface and Coatings Technology (2021)."
