Parameter,Value,Unit,Min,Max,Description
"powerRange","60","W","1","120","Controlled power for precision semiconductor cleaning"
"wavelength","1064","nm","355","10640","Near-IR for minimal lattice damage"
"spotSize","30","μm","0.1","500","Small spot for high-precision cleaning"
"repetitionRate","30","kHz","1","200","Moderate frequency for controlled removal"
"energyDensity","1.5","J/cm²","0.1","20","Precision energy for contamination removal"
"pulseWidth","10","ns","0.1","1000","Ultra-short pulses for minimal thermal damage"
"scanSpeed","300","mm/s","10","5000","Careful scanning for uniform treatment"
"passCount","3","passes","1","10","Multiple passes for complete cleaning"
"overlapRatio","60","%","10","90","High overlap for thorough coverage"
"power","30","W","10","100","Typical range for ns-pulsed Nd:YAG lasers in semiconductor cleaning to balance efficiency and avoid thermal damage to InP (melting point ~1062°C, moderate reflectivity at 1064 nm). Recommended starting at 30W for light contamination; max safe below 100W to prevent substrate ablation. Source: Manufacturer specs from IPG Photonics and Coherent for industrial cleaners; ablation studies in J. Appl. Phys. (e.g., InP thresholds imply power limits)."
"scan_speed","1500","mm/s","10","5000","Range for effective contaminant removal without excessive heat accumulation on InP's thermally conductive surface. Slower (500-1000 mm/s) for heavy contamination, faster (2000-3000 mm/s) for light. Recommended 1500 mm/s for optimal balance. Source: Industry standards from Laser Institute of America guidelines and equipment manuals (e.g., CleanLaser systems); case studies on III-V semiconductors."
"pulse_width","10","ns","0.1","1000","Nanosecond regime preferred for industrial cleaning of InP to achieve ablation of contaminants with minimal heat-affected zone (HAZ <10 μm due to InP's properties). Picosecond (ps) or femtosecond (fs) for ultra-precision but costlier; ns sufficient and common. Recommended 10 ns for low HAZ. Source: Laser physics research in Appl. Surf. Sci. (e.g., ns pulses at 1064 nm for InP show effective cleaning thresholds)."
"repetition_rate","20","kHz","1","200","Typical for pulsed cleaning to ensure overlap without excessive heat buildup on InP (high rep rate increases speed but risks thermal accumulation). Recommended 20 kHz for InP to optimize fluence delivery. Trade-off: higher rates (>50 kHz) faster but monitor temperature. Source: Academic literature in Opt. Lasers Eng. (studies on rep rate effects in semiconductor laser processing)."
"energy_density","0.5","J/cm²","0.1","20","Fluence range for safe removal of contaminants (e.g., oxides, particles) on InP without exceeding damage threshold (~2 J/cm² at 1064 nm ns pulses). Recommended 0.5 J/cm² for cleaning; conservative to account for InP's absorption and low thermal conductivity limits. Source: Ablation threshold studies in Phys. Rev. B and Surf. Coat. Technol. (InP single-pulse threshold ~1.8-2.5 J/cm² at 1064 nm)."
"spot_size","200","μm","0.1","500","Beam diameter range for cleaning: smaller (50-100 μm) for fine surface prep on InP, larger (300-500 μm) for broad areas. Recommended 200 μm for uniform coverage on delicate InP wafers. Source: Equipment specifications from Trumpf and SPI Lasers for 1064 nm systems; optimized for semiconductor applications in industry reports."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy or layered removal on InP to avoid damage in one go. Recommended 2 passes for complete cleaning with fluence control. Source: Industry practice in laser cleaning case studies (e.g., SPIE proceedings on III-V material processing); conservative for InP sensitivity."
"overlap_ratio","50","%","10","90","Standard range for uniform scan coverage in laser cleaning; 30-50% for large areas, 60-80% for detailed InP surface prep to ensure no gaps while minimizing overexposure. Recommended 50% for balanced uniformity on InP. Source: Process optimization studies in J. Laser Appl. (overlap effects on cleaning efficiency for reflective materials like InP)."
