Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Quartzite cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Quartzite absorption and minimal scattering"
"spotSize","100","μm","0.1","500","Beam spot diameter for balanced cleaning efficiency and coverage area"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for effective contaminant removal from Quartzite surface"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant removal with minimal substrate damage"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning and process efficiency"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning coverage"
"dwellTime","100","μs","","","Optimal dwell time per cleaning spot for effective material removal"
