Parameter,Value,Unit,Min,Max,Description
"powerRange","90","W","1","120","Optimal average power for Pine surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-infrared wavelength for optimal Pine wood absorption"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise Pine surface treatment"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient Pine surface cleaning"
"energyDensity","1.8","J/cm²","0.1","20","Fluence threshold for effective contaminant removal from Pine"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants"
"scanSpeed","800","mm/s","10","5000","Optimal scanning speed for uniform Pine cleaning"
"passCount","2","passes","1","10","Number of cleaning passes for complete Pine surface treatment"
"overlapRatio","30","%","10","90","Beam overlap percentage for uniform Pine surface coverage"
"dwellTime","120","μs","","","Optimal dwell time per spot for Pine cleaning efficiency"
