Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for plaster surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for plaster absorption and minimal substrate damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for balanced cleaning efficiency and resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"energyDensity","2.5","J/cm²","0.1","20","Fluence level sufficient for contaminant removal while preserving plaster substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with controlled thermal penetration"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning without excessive dwell time"
"passCount","2","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage and efficiency"
"power","100","W","50","500","Typical range for industrial laser cleaning of delicate materials like plaster to avoid thermal damage; starting at 100 W for light contamination removal. Max safe below 500 W to prevent substrate cracking due to plaster's low thermal conductivity (~0.5 W/m·K). Source: Manufacturer specs from IPG Photonics YLR series and studies on laser cleaning of gypsum-based plasters (e.g., J. Cult. Herit. 2018)."
"scan_speed","1500","mm/s","10","5000","Effective range for 1064 nm cleaning on plaster; slower speeds (500-1000 mm/s) for heavy contamination, faster (2000-3000 mm/s) for light. Recommended 1500 mm/s balances efficiency and safety. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of plaster; picosecond (ps) or femtosecond reduces HAZ but less common at 1064 nm for industrial use. 20 ns minimizes heat accumulation on low-melting-point plaster (~150°C dehydration). Source: Laser physics research in Opt. Lasers Eng. (2015) on ablation of calcium sulfate materials."
"repetition_rate","30","kHz","1","200","Typical for pulsed 1064 nm lasers in cleaning; 30 kHz recommended for plaster to achieve fast coverage without excessive heat buildup, trading off speed vs. thermal load. Higher rates (>50 kHz) risk accumulation on low-conductivity substrates. Source: Academic literature, e.g., Appl. Surf. Sci. (2019) on stone/plaster cleaning parameters."
"energy_density","0.8","J/cm²","0.1","20","Fluence range for contaminant removal without ablating plaster; damage threshold ~1.5-2.0 J/cm² for gypsum due to reflectivity (~0.3 at 1064 nm) and low melting point. Recommended 0.8 J/cm² for safe surface preparation. Source: Ablation threshold studies in J. Appl. Phys. (2017) and historical artifact cleaning papers."
"spot_size","300","μm","0.1","500","Beam diameter range for precision vs. area coverage; 300 μm recommended for plaster to focus energy on contaminants while sparing porous substrate. Smaller for fine details, larger for broad industrial prep. Source: Equipment specifications from Coherent and Trumpf laser cleaners."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers on plaster to gradually remove without damage. Recommended 2 passes for uniform results in industrial settings. Source: Industry case studies, e.g., restoration projects in Constr. Build. Mater. (2020)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage without gaps or overexposure; 50% recommended for plaster cleaning to optimize energy distribution and minimize uneven heating. Typical 30-80% based on scan patterns. Source: Process optimization studies in Lasers Manuf. Mater. Process. (2016)."
