Parameter,Value,Unit,Min,Max,Description
"powerRange","45","W","1","120","Optimal average power for Rosewood surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-infrared wavelength for optimal absorption in Rosewood lignin and cellulose"
"spotSize","80","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","20","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","4.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without substrate damage"
"pulseWidth","100","ns","0.1","1000","Nanosecond pulse duration for controlled material removal"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform surface treatment"
"passCount","2","passes","1","10","Recommended number of passes for complete surface cleaning"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage"
"dwellTime","0.2","ms","","","Optimal dwell time per spot for effective material interaction"
