Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Cedar surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-infrared wavelength for optimal Cedar absorption and minimal penetration"
"spotSize","80","μm","0.1","500","Optimal beam diameter for precision cleaning of Cedar grain patterns"
"repetitionRate","50","kHz","1","200","High repetition rate for uniform cleaning coverage on Cedar surfaces"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without damaging Cedar substrate"
"pulseWidth","12","ns","0.1","1000","Short pulse duration for efficient ablation of contaminants without excessive heat diffusion"
"scanSpeed","500","mm/s","10","5000","Scanning speed for efficient area coverage while maintaining cleaning effectiveness"
"passCount","2","passes","1","10","Number of cleaning passes for complete contaminant removal from Cedar surface"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive energy deposition"
"power","100","W","50","300","Typical range for industrial laser cleaning of softwoods like cedar to remove contaminants without charring; starting at 100 W allows controlled ablation. Max avoids thermal damage threshold (~300 W at 1064 nm). Source: Manufacturer specs from IPG Photonics YLR series for wood applications; academic paper on wood surface cleaning (Opt. Lasers Eng., 2018)."
"scan_speed","500","mm/s","10","5000","Effective speeds balance removal efficiency and heat input; slower for heavy contamination (e.g., 100-500 mm/s), faster for light (500-2000 mm/s). Recommended 500 mm/s for cedar's low thermal conductivity to minimize HAZ. Source: Industry standards from Laserax equipment manuals; case studies in J. Clean. Prod. (2020)."
"pulse_width","20","ns","0.1","1000","Nanosecond pulses (5-100 ns) preferred over ps/fs for cost-effective cleaning of organics in wood; 20 ns minimizes heat-affected zone while ablating contaminants. Ps/fs reduce thermal damage but increase cost. Source: Laser physics research on wood ablation (Appl. Phys. A, 2015); avoids plasma shielding at 1064 nm."
"repetition_rate","30","kHz","1","200","Typical 10-100 kHz for pulsed cleaning; 30 kHz recommended for cedar to achieve fast coverage without excessive heat accumulation due to wood's poor conductivity. Higher rates speed up process but risk charring. Source: Academic literature on IR laser cleaning of biomass (Lasers Med. Sci., 2019)."
"energy_density","2","J/cm²","0.1","20","Fluence range for contaminant removal (0.5-5 J/cm² light, 5-10 heavy); cedar damage threshold ~15 J/cm² at 1064 nm due to reflectivity (~40%) and low melting point of lignin. Recommended 2 J/cm² for safe cleaning. Source: Ablation threshold studies on softwoods (J. Appl. Phys., 2017). Conservative estimate for unvarnished cedar."
"spot_size","200","μm","0.1","500","Beam diameters 100-500 μm suit industrial cleaning; smaller for fine details on cedar grain, larger for broad areas. 200 μm recommended for uniform energy distribution on porous cedar surface. Source: Equipment specifications from Coherent Armo series; process optimization in Surf. Coat. Tech. (2021)."
"pass_count","2","passes","1","10","Single pass for light contaminants, multi-pass (2-5) for heavy or embedded; 2 passes recommended for cedar to ensure complete removal without overexposure. Source: Industry practice in wood restoration case studies (Herit. Sci., 2022); avoids cumulative thermal stress."
"overlap_ratio","50","%","10","90","30-80% overlap ensures uniform coverage; 50% recommended for cedar to prevent gaps in porous texture while minimizing overlap-induced heating. Source: Process optimization studies on scanned laser cleaning (Opt. Express, 2016)."
