Parameter,Value,Unit,Min,Max,Description
"powerRange","150","W","1","180","Optimal average power for Rhenium oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for efficient Rhenium oxide absorption"
"spotSize","50","μm","0.1","500","Optimal spot size for precision Rhenium cleaning"
"repetitionRate","50","kHz","1","200","High repetition rate for efficient Rhenium surface cleaning"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Fluence threshold for Rhenium oxide removal"
"pulseWidth","15","ns","0.1","1000","Nanosecond pulse duration for controlled Rhenium oxide ablation"
"scanSpeed","500","mm/s","10","5000","Scan speed for efficient Rhenium surface coverage"
"passCount","3","passes","1","10","Number of passes for complete Rhenium oxide removal"
"overlapRatio","50","%","10","90","Optimal overlap for uniform Rhenium surface cleaning"
"power","150","W","50","300","Typical range for industrial cleaning of refractory metals like Rhenium to balance efficiency and avoid thermal damage; recommended starting at 150 W for 1064 nm Nd:YAG lasers. Rhenium's high reflectivity (~60% at 1064 nm) requires higher power than less reflective metals. Source: Extrapolated from studies on laser cleaning of tungsten (similar refractory properties) in J. Laser Appl. 32, 022064 (2020); manufacturer specs from IPG Photonics YLR series."
"scan_speed","1500","mm/s","10","5000","Range for effective contaminant removal without substrate ablation; slower for heavy contamination (e.g., oxides), faster for light surface prep. Recommended 1500 mm/s for optimal balance on Rhenium to minimize heat accumulation given its high thermal conductivity (48 W/m·K). Source: Industry standards from Laser CleanTech manuals and process optimization in Opt. Lasers Eng. 128, 106010 (2020); conservative for Rhenium's properties."
"pulse_width","20","ns","0.1","1000","Nanosecond regime typical for industrial cleaning to ablate contaminants while sparing Rhenium substrate; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but less common industrially due to cost. Recommended 20 ns to reduce thermal effects on high-melting-point Rhenium (3186°C). Source: Laser physics research in Appl. Surf. Sci. 475, 245-252 (2019) on refractory metal cleaning; ns preferred over ps/fs for practicality per SPIE Proc. Vol. 10911."
"repetition_rate","50","kHz","1","200","Typical for pulsed fiber lasers in cleaning; higher rates speed up process but increase heat buildup on reflective Rhenium, risking subsurface damage. Recommended 50 kHz balances speed and thermal management. Trade-off: High freq accelerates cleaning but requires faster scan speeds. Source: Academic literature in J. Phys. D: Appl. Phys. 53, 345301 (2020) on pulse train effects for metals; adapted for Rhenium from molybdenum studies."
"energy_density","1.5","J/cm²","0.1","20","Fluence range below Rhenium's ablation threshold (~4-5 J/cm² at 1064 nm) for safe contaminant removal; lower for light cleaning, higher for heavy. Recommended 1.5 J/cm² to avoid damage given Rhenium's high melting point and reflectivity. Damage threshold estimated >3 J/cm². Source: Ablation threshold studies in Appl. Phys. A 126, 456 (2020) for refractory metals; conservative estimate for Rhenium due to limited specific data."
"spot_size","300","μm","0.1","500","Beam diameter range for precision vs. area coverage; smaller for fine surface prep on Rhenium components, larger for broad industrial cleaning. Recommended 300 μm for uniform energy distribution on reflective surfaces. Source: Equipment specifications from Coherent Armonia series and Trumpf lasers; based on optimization in Surf. Coat. Technol. 384, 125347 (2020) for metal cleaning applications."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy or uneven layers; recommended 2 passes for complete Rhenium cleaning to ensure uniformity without excessive heat input. Source: Industry practice from case studies in aerospace superalloy cleaning (Rhenium-containing) per J. Manuf. Processes 52, 1-12 (2020); multi-pass reduces risk of incomplete removal."
"overlap_ratio","70","%","10","90","Ensures uniform coverage without gaps or over-ablation; higher overlap for fine Rhenium surface prep to account for reflectivity variations. Recommended 70% for optimal uniformity in industrial settings. Source: Process optimization studies in Opt. Laser Technol. 131, 106446 (2020) on scan strategies for metals; typical 50-80% range adapted for refractory materials like Rhenium."
