Parameter,Value,Unit,Min,Max,Description
"powerRange","80","W","1","120","Optimal average power for ceramic cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution"
"repetitionRate","50","kHz","1","200","Pulse frequency for controlled material removal"
"energyDensity","2","J/cm²","0.1","20","Energy per unit area for surface cleaning"
"pulseWidth","10","ns","0.1","1000","Pulse duration for minimal thermal penetration"
"scanSpeed","500","mm/s","10","5000","Beam travel speed for uniform coverage"
"passCount","3","passes","1","10","Number of cleaning cycles for complete removal"
"overlapRatio","50","%","10","90","Beam overlap for consistent surface treatment"
"power","100","W","20","300","Typical range for industrial laser cleaning of hard coatings like TiN to ablate contaminants without substrate melting (TiN melting point ~2950°C). Starting at 100W for controlled energy delivery; max limited to avoid thermal damage. Source: IPG Photonics YLR series specs for 1064 nm cleaning systems; academic review in 'Laser Cleaning of Metallic Substrates' (Optics and Lasers in Engineering, 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance ablation efficiency and heat accumulation on TiN's moderate thermal conductivity (~20 W/m·K). Recommended 1500 mm/s for optimal contaminant removal; slower (100-1000 mm/s) for heavy contamination, faster (2000-5000 mm/s) for light. Source: Industry standards from Laserax equipment manuals; case studies in Journal of Laser Applications (2020)."
"pulse_width","50","ns","0.1","1000","Nanosecond regime preferred for industrial cleaning of TiN to achieve photothermal ablation with minimal heat-affected zone (HAZ <10 μm). Picosecond (ps, 1-100 ps) or femtosecond (fs) reduce HAZ further but increase cost; 50 ns recommended for balance. Source: Laser physics research in Applied Surface Science (2019) on TiN ablation thresholds at 1064 nm."
"repetition_rate","50","kHz","1","200","Typical for pulsed cleaning to ensure pulse overlap without excessive heat buildup on reflective TiN surfaces (reflectivity ~40% at 1064 nm). 50 kHz recommended for TiN to speed up process while monitoring temperature; higher rates (>100 kHz) risk accumulation, lower for precision. Source: Academic literature in Optics Express (2017) on pulse repetition effects in coating cleaning."
"energy_density","1","J/cm²","0.1","20","Fluence range for safe ablation of contaminants on TiN; damage threshold ~2-3 J/cm² due to high melting point and conductivity. Recommended 1.0 J/cm² for effective cleaning without delamination. Conservative estimate for industrial use. Source: Ablation threshold studies in Journal of Applied Physics (2021) for TiN at 1064 nm."
"spot_size","200","μm","0.1","500","Beam diameter suited for TiN surface preparation; smaller (50-100 μm) for fine details, larger (200-500 μm) for broad areas. 200 μm recommended for uniform coverage on coated surfaces. Source: Equipment specifications from Coherent and Trumpf laser cleaning systems."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy or layered removal on TiN to avoid over-ablation. Recommended 2 passes for complete, damage-free cleaning. Source: Industry practice in case studies from Surface & Coatings Technology (2019)."
"overlap_ratio","60","%","10","90","Ensures uniform fluence distribution on TiN for even cleaning; 60% recommended to prevent gaps or hotspots given beam Gaussian profile. Typical range 30-80% based on scan speed. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2022)."
