Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power range for Fused Silica surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength providing optimal absorption balance for Fused Silica contamination removal"
"spotSize","50","μm","0.1","500","Optimal beam spot diameter for precision cleaning with sufficient energy density"
"repetitionRate","100","kHz","1","200","High repetition rate for efficient cleaning coverage while maintaining thermal management"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Critical fluence threshold for effective contaminant removal without Fused Silica damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant ablation with minimal substrate heating"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage and process efficiency"
"passCount","3","passes","1","10","Recommended number of cleaning passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning without excessive energy deposition"
"power","100","W","20","500","Typical range for industrial Nd:YAG lasers cleaning delicate optics like fused silica to avoid thermal damage; starting at 100 W for light contamination removal. Max safe below substrate ablation threshold (~10 J/cm² fluence limit). Source: Manufacturer specs from IPG Photonics YLR series and academic review in Optics Express (2018) on laser cleaning of silica optics."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance cleaning efficiency and heat input; slower for heavy contamination (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for uniform removal on fused silica. Source: Industry standards from Laser Cleaning Association guidelines and case studies in Journal of Applied Physics (2020)."
"pulse_width","500","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning; picosecond (ps) or femtosecond (fs) for ultra-minimal HAZ but higher cost. Typical 10-30 ns for fused silica to limit thermal diffusion given low thermal conductivity (~1.4 W/m·K). Recommended 20 ns. Source: Laser physics research in Applied Surface Science (2019) on pulse duration effects for dielectric materials."
"repetition_rate","50","kHz","1","200","Typical 20-80 kHz for cleaning; higher rates speed up process but risk heat accumulation on low-conductivity fused silica (melting point ~1700°C). Recommended 50 kHz balances speed and safety. Source: Academic literature in Optics and Lasers in Engineering (2021) discussing trade-offs in pulsed laser cleaning."
"energy_density","2","J/cm²","0.1","20","Fluence range for contaminant ablation without exceeding fused silica damage threshold (~12-15 J/cm² at 1064 nm, ns pulses). Recommended 2 J/cm² for safe cleaning of organics/metals. Source: Ablation threshold studies in Journal of Laser Applications (2017) and SPIE proceedings on optical material cleaning."
"spot_size","250","μm","0.1","500","Smaller spots (50-200 μm) for fine detail/precision on fused silica surfaces; larger (200-500 μm) for broad area prep. Recommended 200 μm for balanced resolution and efficiency at 1064 nm (high reflectivity ~4% for silica). Source: Equipment specifications from Coherent and Trumpf laser systems manuals."
"pass_count","2","passes","1","10","Single pass for light contamination; multi-pass (2-3) for heavy layers to build fluence gradually without damage. Recommended 2 passes for fused silica industrial cleaning. Source: Industry practice in case studies from Surface and Coatings Technology (2022) on iterative laser processing."
"overlap_ratio","60","%","10","90","Ensures uniform coverage; 50-70% typical for even energy distribution on transparent/low-absorbing fused silica. Recommended 60% to minimize gaps while avoiding overexposure. Source: Process optimization studies in Lasers in Manufacturing and Materials Processing (2020)."
