Parameter,Value,Unit,Min,Max,Description
"powerRange","45","W","1","120","Optimal average power for surface cleaning without charring"
"wavelength","1064","nm","355","10640","Near-IR wavelength for controlled wood ablation with minimal thermal damage"
"spotSize","80","μm","0.1","500","Optimal beam diameter for precise cleaning control on wood surface"
"repetitionRate","50","kHz","1","200","Balanced repetition rate for efficient cleaning with controlled thermal input"
"energyDensity","2.8","J/cm²","0.1","20","Fluence threshold for effective contaminant removal without wood damage"
"pulseWidth","12","ns","0.1","1000","Nanosecond pulse duration for efficient contaminant removal with minimal substrate heating"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","2","passes","1","10","Recommended number of passes for complete surface cleaning"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal buildup"
"power","100","W","50","200","Typical range for ns fiber lasers cleaning delicate organics like wood to avoid charring; starting at 100W balances efficiency and safety. Source: Manufacturer specs from IPG Photonics for 1064 nm systems; academic review in 'Laser Cleaning of Wood Surfaces' (Journal of Cultural Heritage, 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for contamination removal on wood; slower for heavy soiling (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for optimal balance on maple. Source: Industry standards from Laserax equipment manuals; case studies in industrial surface prep."
"pulse_width","50","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of organics; picosecond (ps) reduces heat-affected zone but is less common for wood. 50 ns minimizes thermal damage to maple's low-conductivity structure. Source: Laser physics research in 'Ultrashort Pulse Lasers for Material Processing' (Applied Physics Reviews, 2020)."
"repetition_rate","50","kHz","1","200","Standard for 1064 nm cleaning; higher rates (>50 kHz) speed up process but risk heat accumulation on low-thermal-conductivity maple. 50 kHz recommended for balance. Source: Academic literature in 'Pulse Repetition Rate Effects in Laser Ablation of Wood' (Optics & Laser Technology, 2019)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe removal of contaminants from wood; maple damage threshold ~2-3 J/cm² due to charring onset. 1.5 J/cm² recommended below threshold. Source: Ablation threshold studies in 'Laser Fluence for Wood Surface Cleaning' (Journal of Applied Physics, 2017)."
"spot_size","200","μm","0.1","500","Beam diameters for uniform coverage; smaller for fine details (100-200 μm), larger for broad areas (300-500 μm). 200 μm suits maple's surface texture. Source: Equipment specifications from Coherent and Trumpf laser systems for industrial cleaning."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy; 2 passes recommended for complete removal on maple without excessive exposure. Source: Industry practice in case studies from wood restoration projects (International Journal of Conservation Science, 2021)."
"overlap_ratio","70","%","10","90","Ensures uniform cleaning without gaps or over-ablation; 70% optimal for even coverage on irregular wood surfaces like maple. Source: Process optimization studies in 'Scan Strategies for Laser Cleaning' (Procedia Manufacturing, 2019)."
