Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Platinum surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Platinum's moderate reflectivity and thermal processing"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage with controlled thermal input"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal while minimizing Platinum substrate heating"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for thorough cleaning of Platinum surfaces"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal accumulation"
"fluence","5","J/cm²","3","5","Energy density threshold for effective contaminant removal without Platinum damage"
"power","100","W","50","500","Typical range for industrial cleaning of precious metals like platinum to avoid thermal damage; starting at 100W for light contamination. Based on CleanLaser and IPG Photonics specs for 1064 nm systems (e.g., CL 100 series)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for contaminant removal on reflective metals; higher for light contamination (e.g., oils), lower for heavy (e.g., oxides). Recommended 1500 mm/s balances efficiency and safety. From industry standards in laser cleaning manuals (e.g., Adapt Laser Systems guidelines)."
"pulse_width","30","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of platinum with minimal HAZ due to its high thermal conductivity; picosecond (ps) or femtosecond (fs) for ultra-precise work but less common industrially. 30 ns recommended. Supported by laser physics studies (e.g., J. Appl. Phys. on metal ablation thresholds)."
"repetition_rate","40","kHz","1","200","Typical for pulsed cleaning to control heat accumulation on high-reflectivity platinum; higher rates speed up process but risk buildup—40 kHz optimal trade-off. From academic literature (e.g., Opt. Lasers Eng. reviews on pulse repetition in metal cleaning)."
"energy_density","1.5","J/cm²","0.1","20","Fluence below platinum's ablation threshold (~2-4 J/cm² at 1064 nm) for safe contaminant removal; 1.5 J/cm² recommended to vaporize organics without substrate damage. Based on ablation threshold studies (e.g., Appl. Surf. Sci. on noble metals, noting Pt's high reflectivity reduces absorption)."
"spot_size","200","μm","0.1","500","Smaller spots for detailed surface prep on platinum jewelry or components; 200 μm balances precision and coverage for industrial use. From equipment specs (e.g., SPI Lasers cleaning heads for fine metal work)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for thorough removal; 2 passes recommended for uniform platinum cleaning without overexposure. Drawn from industry case studies (e.g., laser cleaning of precious metals in J. Laser Appl.)."
"overlap_ratio","60","%","10","90","Ensures uniform coverage on irregular platinum surfaces; 60% optimal for even energy distribution without excessive heat. From process optimization studies (e.g., Opt. Eng. on scan strategies for laser cleaning)."
