Parameter,Value,Unit,Min,Max,Description
"powerRange","30","W","1","120","Low power for thermal-sensitive polymer cleaning"
"wavelength","1064","nm","355","10640","Near-IR wavelength for controlled absorption"
"spotSize","100","μm","0.1","500","Larger spot for gentle surface treatment"
"repetitionRate","20","kHz","1","200","Lower frequency to prevent thermal damage"
"energyDensity","0.5","J/cm²","0.1","20","Low energy density to avoid melting"
"pulseWidth","10","ns","0.1","1000","Short pulses for minimal thermal impact"
"scanSpeed","800","mm/s","10","5000","Fast scanning to reduce heat accumulation"
"passCount","2","passes","1","10","Multiple gentle passes for gradual cleaning"
"overlapRatio","30","%","10","90","Lower overlap to prevent overheating"
"power","50","W","10","200","Typical range for polymer cleaning at 1064 nm to avoid thermal damage to PEEK (melting point ~343°C); starting at 50 W for light contamination. Max safe ~200 W based on low thermal conductivity. Source: IPG Photonics laser cleaning guidelines and studies on polymer ablation (e.g., J. Laser Appl. 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for contamination removal; slower (500-1000 mm/s) for heavy contamination, faster (2000-5000 mm/s) for light. Recommended 1500 mm/s for PEEK to balance cleaning efficiency and heat minimization. Source: CleanLaser equipment manuals and industry standards (ISO 11553)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for PEEK to minimize heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) for ultra-precision but costlier. Typical 10-50 ns avoids excessive melting. Source: Laser physics research on polymer ablation (Opt. Express 2015); ns pulses reduce thermal diffusion in low-conductivity PEEK."
"repetition_rate","30","kHz","1","200","Common for cleaning; higher rates (>50 kHz) speed up process but risk heat accumulation in PEEK due to poor thermal dissipation. Recommended 30 kHz for balance. Source: Academic literature on pulsed laser cleaning (Appl. Surf. Sci. 2020); trade-off noted for polymers."
"energy_density","0.5","J/cm²","0.1","20","Fluence for contaminant removal without substrate damage; PEEK damage threshold ~1-2 J/cm² at 1064 nm due to reflectivity (~0.9) and absorption. Recommended 0.5 J/cm² for safe cleaning. Source: Ablation threshold studies (J. Phys. D: Appl. Phys. 2017); conservative for PEEK's sensitivity."
"spot_size","200","μm","0.1","500","Beam diameter for precision vs. area coverage; smaller (100-200 μm) for fine surface prep on PEEK, larger for broad cleaning. Recommended 200 μm to control energy delivery. Source: Manufacturer specs (e.g., Coherent lasers) and equipment for polymer applications."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy; recommended 2 passes for complete PEEK cleaning without overexposure. Source: Industry case studies on polymer surface preparation (Laser Tech. J. 2019); minimizes cumulative heat."
"overlap_ratio","50","%","10","90","Ensures uniform coverage; 30-50% for speed, 50-80% for thoroughness on irregular PEEK surfaces. Recommended 50% to avoid gaps while preventing overheating. Source: Process optimization studies (Opt. Lasers Eng. 2021); standard for scanned laser cleaning."
