Parameter,Value,Unit,Min,Max,Description
"powerRange","45","W","1","120","Optimal average power for Iridium surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Fundamental Nd:YAG wavelength with good Iridium absorption"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage"
"fluenceThreshold","2.5","J/cm²","0.3","4.5","Minimum fluence required for effective Iridium surface cleaning"
"pulseWidth","8","ns","0.1","1000","Short pulse duration for efficient ablation with minimal heat diffusion"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient area coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contamination removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning results"
"power","100","W","50","500","Typical range for industrial Nd:YAG laser cleaning of refractory metals like Iridium, starting low due to high reflectivity (~90% at 1064 nm) to avoid excessive heating; max limited to prevent melting (mp 2446°C). Recommended start at 100 W for contamination removal. Source: IPG Photonics specs for YLR series; conservative estimate from metal cleaning studies (e.g., J. Laser Appl. 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance fluence and coverage; slower for heavy contamination (e.g., oxides), faster for light surface prep. Recommended 1500 mm/s for optimal Iridium cleaning without thermal buildup, considering low thermal conductivity (14.8 W/m·K). Source: CleanLaser equipment manuals; industry standards for 1064 nm cleaning (Opt. Lasers Eng. 2020)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for cost-effective industrial cleaning; picosecond (ps) or femtosecond (fs) for minimal HAZ on heat-sensitive Iridium, but ns sufficient due to high melting point. Recommended 20 ns to limit heat diffusion. Source: Laser physics reviews (e.g., Prog. Quantum Electron. 2019); ns common in metal ablation studies."
"repetition_rate","50","kHz","1","200","Typical for pulsed cleaning to achieve high average power without excessive heat accumulation; higher rates speed up process but risk thermal effects on reflective Iridium. Recommended 50 kHz balances speed and safety. Source: Academic literature on Nd:YAG cleaning (Appl. Surf. Sci. 2017); trade-off noted in high-rep-rate studies."
"energy_density","2","J/cm²","0.1","20","Fluence below Iridium damage threshold (~3-6 J/cm² at 1064 nm due to reflectivity); typical for contaminant ablation without substrate damage. Recommended 2 J/cm² for safe removal of light contaminants. Source: Ablation threshold studies for PGMs (J. Phys. D: Appl. Phys. 2021); conservative for Iridium's properties."
"spot_size","200","μm","0.1","500","Smaller spots for fine detail on valuable Iridium surfaces, larger for broad areas; 1064 nm beam focused tightly for precision. Recommended 200 μm for uniform cleaning without over-ablation. Source: Equipment specs from Coherent and Trumpf lasers; application-based ranges in industrial cleaning (Lasers Manuf. Mater. Process. 2019)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy layers; Iridium's durability allows 2 passes without damage. Recommended 2 for complete removal in surface prep. Source: Industry case studies on metal cleaning (e.g., SPIE Proc. 2022); practice for refractory metals."
"overlap_ratio","50","%","10","90","Ensures uniform coverage without gaps or excessive overlap heating; 50% optimal for Iridium to minimize heat-affected zones while covering reflective surfaces evenly. Source: Process optimization studies (Opt. Express 2018); typical range 30-80% in scanning laser cleaning standards."
