Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Brass oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal Brass absorption and minimal reflectivity"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning resolution"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective contaminant removal on Brass"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of surface contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete oxide layer removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive heat accumulation"
"power","100","W","50","300","Typical range for industrial 1064 nm laser cleaning of reflective metals like brass to avoid thermal damage; starting at 100W for light contamination. Max limited by brass's high reflectivity and melting point (~900°C). Source: CleanLaser and IPG Photonics specs for metal cleaning systems."
"scan_speed","1500","mm/s","10","5000","Effective speeds balance cleaning efficiency and heat input; slower for heavy contamination (e.g., oxides), faster for light rust/oil. Recommended 1500 mm/s for uniform brass surface prep. Source: Industry standards from Laserax and academic studies on scan optimization (e.g., J. Laser Appl. 2018)."
"pulse_width","10","ns","0.1","1000","Nanosecond regime preferred for cost-effective cleaning of brass; 10 ns minimizes heat-affected zone (HAZ) due to brass's thermal conductivity (~120 W/mK). Picosecond (<1 ns) for ultra-fine work but less common industrially. Source: Laser physics research in Opt. Lasers Eng. (2015) on metal ablation thresholds."
"repetition_rate","30","kHz","1","200","20-50 kHz balances speed and heat accumulation on reflective brass; higher rates (>50 kHz) risk overheating despite good conductivity. Source: Academic literature on pulsed laser cleaning (e.g., Appl. Surf. Sci. 2019), noting trade-offs for Cu-based alloys."
"energy_density","1.5","J/cm²","0.1","20","Fluence below brass damage threshold (~2-4 J/cm² at 1064 nm) for contaminant removal without substrate ablation; 1.5 J/cm² safe for oils/rust. Source: Ablation threshold studies in J. Phys. D: Appl. Phys. (2017) for brass and similar alloys."
"spot_size","200","μm","0.1","500","200-300 μm ideal for brass to achieve uniform cleaning on detailed surfaces; smaller for precision, larger for broad areas. Accounts for beam divergence on reflective surfaces. Source: Equipment specs from Coherent and Trumpf laser cleaning heads."
"pass_count","2","passes","1","10","1-3 passes typical for complete removal of contaminants on brass; multi-pass for layered dirt to stay below damage threshold. Single pass sufficient for light prep. Source: Industry case studies (e.g., Laser Cleaning Technol. reports) and practical optimization."
"overlap_ratio","70","%","10","90","70% overlap ensures uniform coverage without excessive heat buildup on brass; higher for fine contaminants, lower for speed. Source: Process optimization studies in Surf. Coat. Technol. (2020) for scanned laser cleaning of metals."
