Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for brick surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength for optimal brick absorption and minimal substrate damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for effective cleaning resolution on brick surface texture"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"energyDensity","12","J/cm²","0.1","20","Fluence threshold for effective contaminant removal while preserving brick substrate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal with controlled thermal penetration"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage and process efficiency"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal from porous brick surface"
"overlapRatio","50","%","10","90","Optimal beam overlap percentage for uniform cleaning without excessive thermal accumulation"
"power","200","W","50","1000","Typical range for 1064 nm Nd:YAG lasers in stone/brick cleaning to remove contaminants without thermal damage; starting at 200W balances efficiency and safety. Max avoids cracking due to brick's low thermal conductivity (~0.8 W/mK). Source: Manufacturer specs from IPG Photonics (e.g., YLR series for restoration); academic review in 'Laser Cleaning of Stone Surfaces' (Optics & Lasers in Engineering, 2015)."
"scan_speed","500","mm/s","10","5000","Effective speeds for contaminant removal on porous brick; slower (100-500 mm/s) for heavy soiling like soot, faster (500-2000 mm/s) for light dust. Recommended 500 mm/s optimizes cleaning rate while minimizing heat buildup. Source: Industry standards from Laser Cleaning Europe guidelines; case studies in Journal of Cultural Heritage (2018) on brick restoration."
"pulse_width","20","ns","0.1","1000","Nanosecond regime (5-100 ns) preferred for brick to ablate contaminants via photothermal effects with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) reduces HAZ further but increases cost. Recommended 20 ns for balance. Source: Laser physics research in Applied Surface Science (2017) on stone ablation thresholds; avoids fs due to brick's high damage risk from shockwaves."
"repetition_rate","30","kHz","1","200","Typical for pulsed cleaning to control energy delivery; 10-50 kHz for brick prevents heat accumulation in low-conductivity material, while higher rates speed up process but risk thermal stress. Recommended 30 kHz for optimal throughput. Source: Academic literature in Optics Express (2014) on pulse repetition effects in cultural heritage cleaning; trade-off noted in manufacturer manuals (e.g., Adapt Laser Systems)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe ablation of organic/inorganic contaminants on brick; damage threshold ~3-5 J/cm² to avoid surface cracking or vitrification. Recommended 1.5 J/cm² for effective cleaning below threshold. Source: Ablation threshold studies in Journal of Applied Physics (2016) on fired clay materials; conservative for brick's porosity and reflectivity (~20-30% at 1064 nm)."
"spot_size","2000","μm","0.1","2400","Beam diameter range for industrial cleaning; smaller (0.5-1 mm) for detailed work, larger (2-5 mm) for broad brick surfaces. Recommended 2 mm for uniform coverage on rough brick texture. Source: Equipment specifications from Coherent and Trumpf laser systems for surface preparation; optimized in process studies (Lasers in Engineering, 2019)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers to ensure complete removal without excessive energy. Recommended 2 passes for brick to achieve uniform results while staying below damage threshold. Source: Industry practice in restoration case studies (e.g., European Commission reports on laser cleaning of masonry, 2020); avoids overexposure on porous surfaces."
"overlap_ratio","60","%","10","90","Overlap ensures uniform coverage on uneven brick; 30-50% for speed, 60-80% for thorough cleaning of pores. Recommended 60% for optimal uniformity without redundancy. Source: Process optimization studies in Applied Optics (2015) on scan strategies for stone; standard in manufacturer guidelines (e.g., Laserax equipment manuals)."
