Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Aluminum oxide layer removal"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal Aluminum absorption and minimal substrate damage"
"spotSize","50","μm","0.1","500","Beam spot diameter for effective cleaning resolution and energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage with thermal management"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for Aluminum oxide removal without substrate damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient oxide removal without excessive thermal diffusion"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient coverage and cleaning effectiveness"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal pulse overlap for uniform cleaning coverage"
"power","100","W","50","500","Typical range for industrial cleaning of aluminum to remove contaminants without melting; starting at 100W balances efficiency and safety. Max limited by aluminum's high reflectivity and thermal conductivity to avoid substrate damage. Source: IPG Photonics YLR series specs and study in Optics and Lasers in Engineering (2018) on metal cleaning thresholds."
"scan_speed","1500","mm/s","10","5000","Effective speeds for light to heavy contamination on aluminum; slower for heavy (e.g., oxide layers), faster for light oils. Recommended 1500 mm/s optimizes removal while minimizing heat buildup due to aluminum's conductivity. Source: Industry standards from Laserax equipment manuals and Journal of Cleaner Production (2020) case studies."
"pulse_width","50","ns","0.1","1000","Nanosecond regime preferred for cost-effective industrial cleaning; picosecond (ps) or femtosecond reduces HAZ but increases cost. 50 ns recommended for aluminum to ablate contaminants with minimal thermal diffusion. Source: Laser physics research in Applied Surface Science (2019) comparing pulse regimes for metals."
"repetition_rate","50","kHz","1","200","Typical for pulsed fiber lasers at 1064 nm; higher rates speed up cleaning but risk heat accumulation on reflective aluminum. 50 kHz balances speed and safety. Source: Academic literature in Lasers in Manufacturing and Materials Processing (2021) on frequency effects for aluminum surface preparation."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant removal; aluminum damage threshold ~4-6 J/cm² at 1064 nm ns pulses. Recommended 1.5 J/cm² ensures safe cleaning below ablation threshold of substrate. Source: Ablation threshold studies in Physical Review B (2017) and Optics Express (2022) for IR laser on aluminum."
"spot_size","300","μm","0.1","500","Beam diameter range for uniform coverage; smaller for fine details, larger for broad areas. 300 μm recommended for aluminum to achieve even fluence distribution without hotspots. Source: Equipment specifications from Coherent and Trumpf laser cleaners, with optimization in Surface and Coatings Technology (2019)."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy; aluminum's reflectivity often requires 2 passes for complete removal without damage. Source: Industry practice in case studies from Journal of Laser Applications (2020) on industrial aluminum cleaning."
"overlap_ratio","70","%","10","90","Ensures uniform coverage and prevents gaps in cleaning; 70% recommended for aluminum to account for beam divergence and material reflectivity. Source: Process optimization studies in International Journal of Advanced Manufacturing Technology (2018)."
