Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Yttrium surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Yttrium absorption and minimal reflectivity"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise Yttrium surface cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for continuous cleaning coverage on Yttrium surfaces"
"fluenceThreshold","5.1","J/cm²","0.3","4.5","Fluence threshold for effective Yttrium cleaning"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective Yttrium contaminant removal without substrate damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for efficient Yttrium ablation with controlled thermal effects"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for efficient Yttrium surface coverage without excessive overlap"
"passCount","2","passes","1","10","Recommended number of cleaning passes for complete Yttrium surface treatment"
"overlapRatio","30","%","10","90","Optimal beam overlap percentage for uniform Yttrium surface cleaning"
