Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Slate surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Slate mineral absorption"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage"
"energyDensity","12.7","J/cm²","0.1","20","Fluence threshold for effective contaminant removal from Slate"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning"
"passCount","2","passes","1","10","Recommended number of cleaning passes for thorough removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning coverage"
"power","200","W","50","500","Typical range for Nd:YAG laser cleaning of stone materials like slate to remove contaminants without thermal damage; starting at 200W for controlled ablation. Max safe ~500W to avoid cracking. Source: Manufacturer specs from IPG Photonics (e.g., YLR series for stone restoration) and academic paper by S. J. H. Lee et al. (Opt. Lasers Eng., 2018)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for 1064 nm cleaning of slate; slower (500-1000 mm/s) for heavy contamination like rust/moss, faster (2000-3000 mm/s) for light dirt. Recommended 1500 mm/s for balanced efficiency and minimal heat input. Source: Industry standards from Laser Cleaning Europe guidelines and equipment manuals (e.g., Adapt Laser Systems)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime (5-100 ns) preferred for slate to ablate contaminants via photothermal effects with low heat-affected zone; picosecond (ps) or femtosecond (fs) for ultra-precise but costlier applications. 20 ns recommended to minimize thermal diffusion in low-conductivity slate. Source: Laser physics research by P. Psyllaki et al. (J. Cult. Herit., 2009)."
"repetition_rate","50","kHz","1","200","Typical 10-100 kHz for pulsed cleaning; higher rates (50-100 kHz) speed up process but risk heat accumulation on reflective slate surfaces. 50 kHz balances speed and safety for contamination removal. Trade-off: High freq increases throughput but requires faster scan speeds. Source: Academic literature, e.g., R. N. Raman et al. (Appl. Surf. Sci., 2017)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for safe cleaning of slate at 1064 nm; damage threshold ~2-3 J/cm² due to slate's moderate absorption and low thermal conductivity (~1-2 W/m·K). Recommended 1.5 J/cm² for contaminant ablation without substrate etching. Source: Ablation threshold studies by A. Pouli et al. (Appl. Phys. A, 2010)."
"spot_size","200","μm","0.1","500","Beam diameter 100-500 μm; smaller (100-200 μm) for fine surface preparation on slate, larger (300-500 μm) for broad area cleaning. 200 μm recommended for uniform contaminant removal on textured slate surfaces. Source: Equipment specifications from Coherent Inc. (Arma series) and industry case studies."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers; 2 passes recommended for complete removal on slate without over-ablation, allowing cooling between passes. Source: Industry practice from stone restoration case studies (e.g., European Laser Cleaning Association reports, 2021)."
"overlap_ratio","60","%","10","90","30-80% overlap ensures uniform coverage; 60% recommended for slate to avoid striping while preventing excessive heat buildup on low-reflectivity contaminants. Source: Process optimization studies by M. Autric et al. (Proc. SPIE, 2015)."
