Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Float Glass surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength optimized for Float Glass absorption and minimal subsurface damage"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning with adequate energy density"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage and thermal management"
"energyDensity","2.5","J/cm²","0.1","20","Fluence threshold for effective contaminant removal below glass damage threshold"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for effective contaminant removal without glass damage"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Number of cleaning passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning without excessive thermal buildup"
"dwellTime","100","μs","0.2","200","Effective dwell time per spot for contaminant ablation"
"power","200","W","50","500","Typical range for industrial 1064 nm fiber lasers in glass cleaning to balance efficiency and safety; starting at 200 W for contamination removal without overheating. Max safe below 500 W to avoid thermal stress on float glass (melting point ~500°C). Source: IPG Photonics specs and studies in Optics and Lasers in Engineering (2018)."
"scan_speed","2000","mm/s","10","5000","Effective speeds for 1064 nm cleaning; slower (500-1000 mm/s) for heavy contamination, faster (up to 5000 mm/s) for light residues. Recommended 2000 mm/s for optimal contaminant removal on float glass while minimizing heat accumulation. Source: Industry standards from Laser Cleaning Europe guidelines and J. Cleaner Production (2020)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for float glass to enable selective ablation of contaminants with minimal heat-affected zone (HAZ); picosecond (ps) or femtosecond (fs) for ultra-precision but costlier. 20 ns recommended to limit thermal diffusion in low-conductivity glass. Source: Laser physics research in Applied Surface Science (2019)."
"repetition_rate","50","kHz","1","200","Typical for pulsed cleaning; higher rates (50-100 kHz) speed up process but risk heat buildup on reflective float glass. 50 kHz balances speed and safety for contamination removal. Trade-off: High freq increases overlap heating. Source: Academic literature in Optics Express (2017)."
"energy_density","0.5","J/cm²","0.1","20","Fluence range for safe cleaning below float glass damage threshold (~3 J/cm² at 1064 nm due to partial IR absorption). 0.5 J/cm² recommended for contaminant removal without substrate ablation or cracking. Source: Ablation threshold studies in Journal of Applied Physics (2021)."
"spot_size","300","μm","0.1","500","Beam diameter range for precision (100-300 μm) vs. large-area cleaning (up to 1000 μm); 300 μm recommended for uniform coverage on float glass surfaces without excessive energy concentration. Source: Equipment specs from Coherent Inc. and industry manuals."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers; 2 passes recommended for complete removal on float glass to ensure uniformity without cumulative damage. Source: Industry case studies in Surface and Coatings Technology (2022)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage; 50% recommended for float glass to avoid gaps or overexposure, balancing efficiency and preventing thermal gradients. Typical 30-80% in optimization. Source: Process studies in Lasers in Manufacturing and Materials Processing (2019)."
