Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power range for Magnesium oxide layer removal"
"wavelength","1064","nm","355","10640","Optimal wavelength considering Magnesium's optical properties"
"spotSize","50","μm","0.1","500","Optimal beam spot diameter for Magnesium surface treatment"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient Magnesium cleaning process"
"fluenceThreshold","1.2","J/cm²","0.3","4.5","Minimum fluence required for effective Magnesium surface cleaning"
"pulseWidth","10","ns","0.1","1000","Optimal pulse duration for controlled ablation of Magnesium oxides"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform Magnesium surface cleaning"
"passCount","2","passes","1","10","Recommended number of passes for thorough Magnesium cleaning"
"overlapRatio","50","%","10","90","Optimal pulse overlap for complete Magnesium surface coverage"
"power","200","W","50","1000","Typical range for industrial laser cleaning of magnesium alloys to avoid melting (low melting point ~650°C); starting at 200W balances efficiency and safety. Max limited to prevent substrate damage due to high reflectivity at 1064 nm. Source: Studies on Mg alloy cleaning (e.g., J. Laser Appl. 2018, Vol. 30, IPG Photonics specs for Yb-fiber lasers)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for contamination removal; slower (500-1000 mm/s) for heavy rust/oils, faster (2000-3000 mm/s) for light contaminants. Recommended 1500 mm/s for optimal balance on Mg to minimize heat accumulation. Source: Industry standards from Laserax and Adapt Laser manuals for metal surface prep."
"pulse_width","50","ns","0.1","1000","Nanosecond regime preferred for Mg to ablate contaminants with minimal HAZ; picosecond (ps) or femtosecond reduces thermal effects but increases cost. 50 ns recommended for low reflectivity materials like Mg. Source: Laser physics research (Opt. Lasers Eng. 2020, Vol. 132, on pulse duration effects in metal cleaning)."
"repetition_rate","50","kHz","1","200","Typical for pulsed fiber lasers in cleaning; higher rates speed up process but risk heat buildup on thermally conductive Mg. 50 kHz balances speed and safety. Trade-off: >80 kHz may cause melting. Source: Academic literature (Appl. Surf. Sci. 2019, Vol. 475, on rep rate optimization for light metals)."
"energy_density","1.5","J/cm²","0.1","20","Fluence below Mg damage threshold (~5 J/cm² at 1064 nm) for safe cleaning; 0.5-2 J/cm² for light contaminants, up to 4 for heavy. Recommended 1.5 J/cm² avoids ablation of substrate. Source: Ablation threshold studies (J. Phys. D: Appl. Phys. 2017, Vol. 50, on IR laser interaction with Mg)."
"spot_size","200","μm","0.1","500","Smaller spots (100-200 μm) for fine detail on Mg surfaces, larger (300-500 μm) for broad area prep. 200 μm recommended for uniform cleaning without excessive heat concentration. Source: Equipment specs from Coherent and Trumpf laser cleaning systems for metals."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy layers on Mg to prevent overheating per pass. Recommended 2 passes for industrial removal. Source: Industry case studies (e.g., SPIE Proc. 2021, Vol. 11660, on multi-pass cleaning of alloys)."
"overlap_ratio","60","%","10","90","Ensures uniform coverage without gaps or overexposure; 30-50% for large areas, 60-80% for detailed Mg cleaning. 60% recommended to balance efficiency and avoid thermal damage. Source: Process optimization studies (Opt. Laser Technol. 2022, Vol. 145, on scan overlap in laser cleaning)."
