Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Stoneware surface cleaning without thermal damage"
"wavelength","1064","nm","355","10640","Near-infrared wavelength optimized for Stoneware mineral absorption"
"spotSize","100","μm","0.1","500","Beam spot diameter for precise cleaning control"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning coverage"
"energyDensity","5","J/cm²","0.1","20","Fluence level for effective contaminant removal without substrate damage"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of contaminants"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal beam overlap for uniform cleaning pattern"
"power","100","W","50","500","Typical range for industrial laser cleaning of ceramics like stoneware to avoid thermal damage; starting at 100W for light contamination removal. Max safe before substrate cracking or discoloration. Source: Manufacturer specs from CleanLaser systems and studies in Journal of Laser Applications (e.g., 2018 paper on ceramic surface preparation)."
"scan_speed","1500","mm/s","10","5000","Effective speeds for 1064 nm cleaning on stoneware; slower for heavy contaminants (500-1000 mm/s) vs light (2000-3000 mm/s). Recommended 1500 mm/s balances efficiency and safety. Source: Industry standards from SPIE proceedings on laser cleaning (e.g., 2020) and equipment manuals from IPG Photonics."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for stoneware to ablate contaminants without deep penetration; picosecond (ps) for ultra-minimal HAZ but less common industrially. 20 ns recommended to limit heat accumulation in low-conductivity ceramics. Femtosecond avoided due to cost. Source: Laser physics research in Optics Express (e.g., 2015 study on pulsed laser ablation of ceramics)."
"repetition_rate","30","kHz","1","200","Typical for cleaning applications; 30 kHz recommended for stoneware to achieve fast coverage while minimizing heat buildup—higher rates (>50 kHz) risk accumulation on low-thermal-conductivity materials. Trade-off: speed vs thermal safety. Source: Academic literature in Applied Surface Science (e.g., 2019 on repetition rate effects in ceramic cleaning)."
"energy_density","1.5","J/cm²","0.1","20","Fluence range for contaminant removal on stoneware; damage threshold ~4 J/cm² due to high melting point (~1200°C) but conservative to prevent micro-cracks. 1.5 J/cm² safe for surface preparation. Stoneware's moderate reflectivity at 1064 nm requires mid-range. Source: Ablation threshold studies in Journal of Cultural Heritage (e.g., 2017 on stone and ceramic lasers)."
"spot_size","500","μm","0.1","500","Beam diameter for uniform cleaning; smaller for fine details (200-400 μm), larger for broad areas (500-1000 μm). 500 μm recommended for stoneware industrial apps to cover surfaces efficiently without hotspots. Source: Equipment specifications from Coherent and Trumpf laser systems for ceramic processing."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass (2-5) for heavy; 2 passes recommended for complete stoneware cleaning to ensure removal without overexposure. Based on layered ablation approach. Source: Industry practice in case studies from Laser Institute of America reports (e.g., 2021 industrial cleaning guidelines)."
"overlap_ratio","50","%","10","90","Ensures uniform coverage; 50% recommended for stoneware to avoid gaps or excessive overlap-induced damage, adjustable 30% for speed or 80% for thoroughness. Typical range balances efficiency. Source: Process optimization studies in Optics and Lasers in Engineering (e.g., 2016 on scan overlap in surface cleaning)."
