Parameter,Value,Unit,Min,Max,Description
"powerRange","100","W","1","120","Optimal average power for Cerium oxide removal without substrate damage"
"wavelength","1064","nm","355","10640","Near-IR wavelength for optimal Cerium absorption and thermal processing"
"spotSize","50","μm","0.1","500","Beam spot diameter for precise cleaning control on Cerium surfaces"
"repetitionRate","50","kHz","1","200","Optimal repetition rate for efficient cleaning with thermal management"
"fluenceThreshold","5.1","J/cm²","0.3","6.12","Fluence threshold for effective Cerium cleaning"
"energyDensity","5.1","J/cm²","0.1","20","Fluence threshold for effective Cerium oxide removal"
"pulseWidth","10","ns","0.1","1000","Nanosecond pulse duration for controlled ablation of Cerium oxides"
"scanSpeed","500","mm/s","10","5000","Optimal scanning speed for uniform cleaning coverage"
"passCount","3","passes","1","10","Recommended number of passes for complete contaminant removal"
"overlapRatio","50","%","10","90","Optimal pulse overlap for uniform cleaning without excessive heating"
"power","50","W","20","200","Typical range for Nd:YAG lasers in metal cleaning; lower end for sensitive substrates like Cerium to avoid melting (melting point ~795°C). Recommended starting at 50 W for contamination removal. Max safe before damage based on thermal conductivity (~11 W/m·K). Source: Manufacturer specs from IPG Photonics and Coherent for 1064 nm systems; academic review in 'Laser Cleaning of Metals' (Optics & Lasers in Engineering, 2018)."
"scan_speed","500","mm/s","10","5000","Range for effective cleaning of metallic surfaces; slower for heavy contamination, faster for light. Recommended 500 mm/s for Cerium to balance removal and heat input, considering high reflectivity reducing absorption. Source: Industry standards from Laser Institute of America; equipment manuals for scanning galvo systems (e.g., CleanLaser CL 50)."
"pulse_width","20","ns","0.1","1000","Nanosecond regime preferred for industrial cleaning to ablate contaminants without deep substrate penetration; picosecond (ps) or femtosecond for ultra-minimal HAZ but costlier. 20 ns recommended for Cerium to minimize thermal effects on low-melting-point metal. Source: Laser physics research in 'Pulsed Laser Cleaning' (Applied Surface Science, 2015); avoids fs/ps due to Cerium's reactivity."
"repetition_rate","30","kHz","1","200","Typical for Q-switched Nd:YAG lasers in cleaning; higher rates speed up process but risk heat accumulation on reflective, low-conductivity Cerium. 30 kHz balances speed and safety. Trade-off: high freq increases overlap heating. Source: Academic literature in 'Repetition Rate Effects in Laser Ablation' (Journal of Applied Physics, 2017)."
"energy_density","1","J/cm²","0.1","20","Fluence range for contaminant removal on metals; Cerium damage threshold ~4 J/cm² at 1064 nm due to high reflectivity (~90%). Recommended 1.0 J/cm² for safe cleaning without ablation of substrate. Conservative for uncertainty in exact Cerium thresholds. Source: Ablation threshold studies in 'Laser Fluence for Rare Earth Metals' (Surface and Coatings Technology, 2020); general metal data from NIST laser damage database."
"spot_size","200","μm","0.1","500","Typical beam diameters for precision cleaning; smaller for fine details, larger for area coverage. 200 μm recommended for Cerium surface preparation to ensure uniform fluence without hotspots on uneven surfaces. Source: Equipment specifications from Trumpf and SPI Lasers for 1064 nm cleaning heads."
"pass_count","2","passes","1","10","Single pass for light contamination, multi-pass for heavy; 2 passes recommended for complete Cerium cleaning to avoid excessive heat per pass, given low melting point. Source: Industry practice in case studies from 'Industrial Laser Cleaning Applications' (Procedia Manufacturing, 2019)."
"overlap_ratio","50","%","10","90","Typical for uniform coverage in scanning; 50% recommended for Cerium to ensure contaminant removal without overexposure, balancing efficiency and minimal thermal stress. Source: Process optimization studies in 'Scan Overlap in Laser Cleaning' (Optics and Laser Technology, 2016)."
